数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
201912,1,第1章   活动物,129,菲律宾,535089.0
201912,1,第1章   活动物,138,阿联酋,485000.0
201912,1,第1章   活动物,220,加纳,258000.0
201912,1,第1章   活动物,244,南非,718916.0
201912,1,第1章   活动物,252,刚果民主共和国,62829.0
201912,1,第1章   活动物,301,比利时,1843951.0
201912,1,第1章   活动物,305,法国,235.0
201912,1,第1章   活动物,309,荷兰,119000.0
201912,1,第1章   活动物,315,奥地利,196.0
201912,1,第1章   活动物,327,波兰,1222031.0
201912,1,第1章   活动物,429,墨西哥,102848.0
201912,1,第1章   活动物,501,加拿大,1395509.0
201912,2,第2章   肉及食用杂碎,124,蒙古,10239648.0
201912,2,第2章   肉及食用杂碎,244,南非,7772013.0
201912,2,第2章   肉及食用杂碎,305,法国,50880149.0
201912,2,第2章   肉及食用杂碎,306,爱尔兰,25264904.0
201912,2,第2章   肉及食用杂碎,307,意大利,560116.0
201912,2,第2章   肉及食用杂碎,309,荷兰,97684735.0
201912,2,第2章   肉及食用杂碎,312,西班牙,214176774.0
201912,2,第2章   肉及食用杂碎,315,奥地利,6029458.0
201912,2,第2章   肉及食用杂碎,318,芬兰,3981806.0
201912,2,第2章   肉及食用杂碎,321,匈牙利,617871.0
201912,2,第2章   肉及食用杂碎,327,波兰,5410554.0
201912,2,第2章   肉及食用杂碎,340,白俄罗斯,10506954.0
201912,2,第2章   肉及食用杂碎,408,玻利维亚 ,2235123.0
201912,2,第2章   肉及食用杂碎,410,巴西,599767862.0
201912,2,第2章   肉及食用杂碎,415,哥斯达黎加,8254352.0
201912,2,第2章   肉及食用杂碎,429,墨西哥,11742049.0
201912,2,第2章   肉及食用杂碎,444,乌拉圭,117717990.0
201912,2,第2章   肉及食用杂碎,501,加拿大,1062030.0
201912,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,124,蒙古,8535.0
201912,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,127,巴基斯坦,24373261.0
201912,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,129,菲律宾,8006640.0
201912,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,137,土耳其,640881.0
201912,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,220,加纳,281778.0
201912,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,224,肯尼亚,635935.0
201912,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,227,马达加斯加,1464169.0
201912,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,233,莫桑比克,1838329.0
201912,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,244,南非,3004636.0
201912,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,305,法国,8266619.0
201912,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,306,爱尔兰,2123784.0
201912,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,307,意大利,554437.0
201912,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,309,荷兰,5313111.0
201912,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,312,西班牙,7008451.0
201912,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,318,芬兰,296.0
201912,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,326,挪威,65421528.0
201912,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,327,波兰,158193.0
201912,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,336,立陶宛,1128529.0
201912,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,357,法罗群岛,14433927.0
201912,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,410,巴西,4506911.0
201912,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,427,牙买加,15168.0
201912,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,429,墨西哥,38756227.0
201912,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,444,乌拉圭,3195453.0
201912,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,501,加拿大,105650678.0
201912,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,503,格陵兰,37397168.0
201912,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,621,马绍尔群岛,4133185.0
201912,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,108,塞浦路斯,4612.0
201912,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,129,菲律宾,29.0
201912,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,137,土耳其,40782.0
201912,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,138,阿联酋,174.0
201912,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,301,比利时,3206322.0
201912,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,305,法国,31810737.0
201912,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,306,爱尔兰,9096600.0
201912,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,307,意大利,5295283.0
201912,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,309,荷兰,10283441.0
201912,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,310,希腊,103165.0
201912,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,312,西班牙,4238867.0
201912,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,315,奥地利,3053065.0
201912,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,316,保加利亚,5073.0
201912,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,318,芬兰,5356501.0
201912,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,326,挪威,421.0
201912,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,327,波兰,8637446.0
201912,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,340,白俄罗斯,4186153.0
201912,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,350,斯洛文尼亚,216904.0
201912,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,410,巴西,309538.0
201912,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,429,墨西哥,16.0
201912,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,444,乌拉圭,11636870.0
201912,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,501,加拿大,133880.0
201912,5,第5章   其他动物产品,109,朝鲜,33486.0
201912,5,第5章   其他动物产品,124,蒙古,165010.0
201912,5,第5章   其他动物产品,127,巴基斯坦,1034935.0
201912,5,第5章   其他动物产品,129,菲律宾,90420.0
201912,5,第5章   其他动物产品,227,马达加斯加,9306.0
201912,5,第5章   其他动物产品,244,南非,406778.0
201912,5,第5章   其他动物产品,250,乌干达,25729.0
201912,5,第5章   其他动物产品,305,法国,1336890.0
201912,5,第5章   其他动物产品,306,爱尔兰,22824.0
201912,5,第5章   其他动物产品,307,意大利,147418.0
201912,5,第5章   其他动物产品,309,荷兰,3645607.0
201912,5,第5章   其他动物产品,310,希腊,26773.0
201912,5,第5章   其他动物产品,312,西班牙,4013651.0
201912,5,第5章   其他动物产品,315,奥地利,57728.0
201912,5,第5章   其他动物产品,321,匈牙利,1142539.0
201912,5,第5章   其他动物产品,327,波兰,1803994.0
201912,5,第5章   其他动物产品,340,白俄罗斯,28051.0
201912,5,第5章   其他动物产品,410,巴西,128754.0
201912,5,第5章   其他动物产品,429,墨西哥,73494.0
201912,5,第5章   其他动物产品,501,加拿大,276823.0
201912,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,109,朝鲜,33984.0
201912,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,137,土耳其,2317.0
201912,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,220,加纳,63.0
201912,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,224,肯尼亚,288363.0
201912,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,244,南非,210705.0
201912,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,250,乌干达,90091.0
201912,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,254,津巴布韦,8402.0
201912,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,301,比利时,65834.0
201912,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,305,法国,340306.0
201912,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,306,爱尔兰,23.0
201912,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,307,意大利,147912.0
201912,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,309,荷兰,5837813.0
201912,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,312,西班牙,60941.0
201912,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,316,保加利亚,44.0
201912,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,318,芬兰,476.0
201912,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,327,波兰,154121.0
201912,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,410,巴西,446.0
201912,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,415,哥斯达黎加,45335.0
201912,7,第7章   食用蔬菜、根及块茎,127,巴基斯坦,367300.0
201912,7,第7章   食用蔬菜、根及块茎,137,土耳其,473669.0
201912,7,第7章   食用蔬菜、根及块茎,301,比利时,162687.0
201912,7,第7章   食用蔬菜、根及块茎,305,法国,557973.0
201912,7,第7章   食用蔬菜、根及块茎,307,意大利,6660.0
201912,7,第7章   食用蔬菜、根及块茎,312,西班牙,311383.0
201912,7,第7章   食用蔬菜、根及块茎,327,波兰,4707.0
201912,7,第7章   食用蔬菜、根及块茎,429,墨西哥,115419.0
201912,7,第7章   食用蔬菜、根及块茎,501,加拿大,20904936.0
201912,7,第7章   食用蔬菜、根及块茎,614,汤加,56100.0
201912,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,127,巴基斯坦,128975.0
201912,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,129,菲律宾,52589319.0
201912,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,137,土耳其,4525507.0
201912,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,138,阿联酋,735897.0
201912,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,147,塔吉克斯坦,600.0
201912,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,224,肯尼亚,86240.0
201912,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,244,南非,9609806.0
201912,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,254,津巴布韦,1999200.0
201912,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,301,比利时,1009253.0
201912,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,305,法国,1393527.0
201912,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,307,意大利,11456824.0
201912,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,309,荷兰,352192.0
201912,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,310,希腊,264034.0
201912,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,312,西班牙,287679.0
201912,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,327,波兰,80042.0
201912,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,340,白俄罗斯,828.0
201912,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,408,玻利维亚 ,110876.0
201912,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,410,巴西,220320.0
201912,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,415,哥斯达黎加,432902.0
201912,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,429,墨西哥,52105895.0
201912,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,501,加拿大,1528033.0
201912,9,第9章   咖啡、茶、马黛茶及调味香料,137,土耳其,26912.0
201912,9,第9章   咖啡、茶、马黛茶及调味香料,138,阿联酋,60538.0
201912,9,第9章   咖啡、茶、马黛茶及调味香料,224,肯尼亚,794166.0
201912,9,第9章   咖啡、茶、马黛茶及调味香料,227,马达加斯加,352071.0
201912,9,第9章   咖啡、茶、马黛茶及调味香料,233,莫桑比克,93.0
201912,9,第9章   咖啡、茶、马黛茶及调味香料,244,南非,216.0
201912,9,第9章   咖啡、茶、马黛茶及调味香料,250,乌干达,306343.0
201912,9,第9章   咖啡、茶、马黛茶及调味香料,301,比利时,18542.0
201912,9,第9章   咖啡、茶、马黛茶及调味香料,305,法国,180038.0
201912,9,第9章   咖啡、茶、马黛茶及调味香料,306,爱尔兰,57.0
201912,9,第9章   咖啡、茶、马黛茶及调味香料,307,意大利,2591071.0
201912,9,第9章   咖啡、茶、马黛茶及调味香料,309,荷兰,13306.0
201912,9,第9章   咖啡、茶、马黛茶及调味香料,310,希腊,6200.0
201912,9,第9章   咖啡、茶、马黛茶及调味香料,312,西班牙,33412.0
201912,9,第9章   咖啡、茶、马黛茶及调味香料,315,奥地利,11842.0
201912,9,第9章   咖啡、茶、马黛茶及调味香料,318,芬兰,864.0
201912,9,第9章   咖啡、茶、马黛茶及调味香料,326,挪威,270.0
201912,9,第9章   咖啡、茶、马黛茶及调味香料,327,波兰,253355.0
201912,9,第9章   咖啡、茶、马黛茶及调味香料,408,玻利维亚 ,19622.0
201912,9,第9章   咖啡、茶、马黛茶及调味香料,410,巴西,2499364.0
201912,9,第9章   咖啡、茶、马黛茶及调味香料,415,哥斯达黎加,221382.0
201912,9,第9章   咖啡、茶、马黛茶及调味香料,427,牙买加,141385.0
201912,9,第9章   咖啡、茶、马黛茶及调味香料,431,尼加拉瓜,20067.0
201912,9,第9章   咖啡、茶、马黛茶及调味香料,501,加拿大,12997.0
201912,10,第10章  谷物,127,巴基斯坦,41811326.0
201912,10,第10章  谷物,129,菲律宾,113.0
201912,10,第10章  谷物,244,南非,1156235.0
201912,10,第10章  谷物,305,法国,64822180.0
201912,10,第10章  谷物,309,荷兰,4.0
201912,10,第10章  谷物,316,保加利亚,450680.0
201912,10,第10章  谷物,336,立陶宛,18441344.0
201912,10,第10章  谷物,408,玻利维亚 ,1307149.0
201912,10,第10章  谷物,410,巴西,282.0
201912,10,第10章  谷物,501,加拿大,54688230.0
201912,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,109,朝鲜,276530.0
201912,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,129,菲律宾,7.0
201912,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,301,比利时,419786.0
201912,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,305,法国,221129.0
201912,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,307,意大利,111084.0
201912,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,309,荷兰,4072037.0
201912,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,312,西班牙,68.0
201912,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,318,芬兰,1341.0
201912,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,327,波兰,193600.0
201912,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,336,立陶宛,57629.0
201912,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,408,玻利维亚 ,674.0
201912,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,410,巴西,3333.0
201912,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,429,墨西哥,328162.0
201912,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,501,加拿大,492395.0
201912,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,124,蒙古,4052231.0
201912,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,127,巴基斯坦,747436.0
201912,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,129,菲律宾,1696627.0
201912,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,137,土耳其,425609.0
201912,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,224,肯尼亚,55572.0
201912,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,227,马达加斯加,48661.0
201912,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,233,莫桑比克,11622380.0
201912,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,235,尼日尔,11733331.0
201912,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,244,南非,2503904.0
201912,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,301,比利时,624991.0
201912,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,305,法国,2115964.0
201912,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,307,意大利,4620578.0
201912,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,309,荷兰,1749077.0
201912,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,312,西班牙,6806745.0
201912,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,313,阿尔巴尼亚,24904.0
201912,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,316,保加利亚,1377407.0
201912,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,321,匈牙利,3727.0
201912,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,326,挪威,31631.0
201912,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,327,波兰,62583.0
201912,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,336,立陶宛,4824.0
201912,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,350,斯洛文尼亚,1938398.0
201912,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,410,巴西,2015920995.0
201912,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,415,哥斯达黎加,143841.0
201912,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,429,墨西哥,314540.0
201912,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,444,乌拉圭,76759994.0
201912,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,501,加拿大,69348116.0
201912,13,第13章  虫胶；树胶、树脂及其他植物液、汁,127,巴基斯坦,1252066.0
201912,13,第13章  虫胶；树胶、树脂及其他植物液、汁,129,菲律宾,635459.0
201912,13,第13章  虫胶；树胶、树脂及其他植物液、汁,137,土耳其,60.0
201912,13,第13章  虫胶；树胶、树脂及其他植物液、汁,138,阿联酋,750000.0
201912,13,第13章  虫胶；树胶、树脂及其他植物液、汁,211,乍得,59460.0
201912,13,第13章  虫胶；树胶、树脂及其他植物液、汁,213,刚果共和国,57314.0
201912,13,第13章  虫胶；树胶、树脂及其他植物液、汁,224,肯尼亚,1476098.0
201912,13,第13章  虫胶；树胶、树脂及其他植物液、汁,227,马达加斯加,277201.0
201912,13,第13章  虫胶；树胶、树脂及其他植物液、汁,250,乌干达,139384.0
201912,13,第13章  虫胶；树胶、树脂及其他植物液、汁,252,刚果民主共和国,142000.0
201912,13,第13章  虫胶；树胶、树脂及其他植物液、汁,301,比利时,13588.0
201912,13,第13章  虫胶；树胶、树脂及其他植物液、汁,305,法国,2718360.0
201912,13,第13章  虫胶；树胶、树脂及其他植物液、汁,306,爱尔兰,4239.0
201912,13,第13章  虫胶；树胶、树脂及其他植物液、汁,307,意大利,2256137.0
201912,13,第13章  虫胶；树胶、树脂及其他植物液、汁,309,荷兰,19224.0
201912,13,第13章  虫胶；树胶、树脂及其他植物液、汁,312,西班牙,599699.0
201912,13,第13章  虫胶；树胶、树脂及其他植物液、汁,340,白俄罗斯,20181.0
201912,13,第13章  虫胶；树胶、树脂及其他植物液、汁,410,巴西,2298361.0
201912,13,第13章  虫胶；树胶、树脂及其他植物液、汁,429,墨西哥,82717.0
201912,13,第13章  虫胶；树胶、树脂及其他植物液、汁,431,尼加拉瓜,12686.0
201912,13,第13章  虫胶；树胶、树脂及其他植物液、汁,501,加拿大,901.0
201912,14,第14章  编结用植物材料；其他植物产品,109,朝鲜,127120.0
201912,14,第14章  编结用植物材料；其他植物产品,127,巴基斯坦,382834.0
201912,14,第14章  编结用植物材料；其他植物产品,129,菲律宾,620266.0
201912,14,第14章  编结用植物材料；其他植物产品,137,土耳其,803196.0
201912,14,第14章  编结用植物材料；其他植物产品,203,贝宁,37756.0
201912,14,第14章  编结用植物材料；其他植物产品,213,刚果共和国,35207.0
201912,14,第14章  编结用植物材料；其他植物产品,227,马达加斯加,211094.0
201912,14,第14章  编结用植物材料；其他植物产品,305,法国,73494.0
201912,14,第14章  编结用植物材料；其他植物产品,307,意大利,11805.0
201912,14,第14章  编结用植物材料；其他植物产品,410,巴西,437620.0
201912,14,第14章  编结用植物材料；其他植物产品,429,墨西哥,349141.0
201912,15,第15章  动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡,108,塞浦路斯,32199.0
201912,15,第15章  动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡,118,科威特,235.0
201912,15,第15章  动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡,124,蒙古,27889.0
201912,15,第15章  动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡,129,菲律宾,5401729.0
201912,15,第15章  动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡,137,土耳其,1315217.0
201912,15,第15章  动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡,138,阿联酋,19206970.0
201912,15,第15章  动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡,220,加纳,187.0
201912,15,第15章  动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡,224,肯尼亚,21591.0
201912,15,第15章  动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡,244,南非,4559.0
201912,15,第15章  动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡,254,津巴布韦,6269.0
201912,15,第15章  动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡,301,比利时,510709.0
201912,15,第15章  动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡,305,法国,1827484.0
201912,15,第15章  动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡,306,爱尔兰,33232.0
201912,15,第15章  动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡,307,意大利,2929387.0
201912,15,第15章  动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡,309,荷兰,807715.0
201912,15,第15章  动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡,310,希腊,158029.0
201912,15,第15章  动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡,312,西班牙,20139478.0
201912,15,第15章  动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡,315,奥地利,227004.0
201912,15,第15章  动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡,316,保加利亚,558839.0
201912,15,第15章  动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡,326,挪威,681269.0
201912,15,第15章  动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡,327,波兰,1147.0
201912,15,第15章  动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡,340,白俄罗斯,1493448.0
201912,15,第15章  动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡,410,巴西,19317614.0
201912,15,第15章  动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡,415,哥斯达黎加,1420.0
201912,15,第15章  动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡,429,墨西哥,175811.0
201912,15,第15章  动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡,431,尼加拉瓜,1219744.0
201912,15,第15章  动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡,444,乌拉圭,368985.0
201912,15,第15章  动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡,501,加拿大,87606727.0
201912,16,第16章  肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物的制品,124,蒙古,9345731.0
201912,16,第16章  肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物的制品,127,巴基斯坦,81984.0
201912,16,第16章  肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物的制品,129,菲律宾,1306701.0
201912,16,第16章  肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物的制品,137,土耳其,612315.0
201912,16,第16章  肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物的制品,244,南非,64661.0
201912,16,第16章  肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物的制品,305,法国,74427.0
201912,16,第16章  肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物的制品,306,爱尔兰,116962.0
201912,16,第16章  肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物的制品,307,意大利,57089.0
201912,16,第16章  肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物的制品,312,西班牙,314162.0
201912,16,第16章  肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物的制品,316,保加利亚,202600.0
201912,16,第16章  肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物的制品,326,挪威,39167.0
201912,16,第16章  肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物的制品,501,加拿大,1270700.0
201912,17,第17章  糖及糖食,127,巴基斯坦,15700.0
201912,17,第17章  糖及糖食,129,菲律宾,161902.0
201912,17,第17章  糖及糖食,137,土耳其,266374.0
201912,17,第17章  糖及糖食,138,阿联酋,57.0
201912,17,第17章  糖及糖食,301,比利时,445821.0
201912,17,第17章  糖及糖食,305,法国,952943.0
201912,17,第17章  糖及糖食,306,爱尔兰,944.0
201912,17,第17章  糖及糖食,307,意大利,249524.0
201912,17,第17章  糖及糖食,309,荷兰,596131.0
201912,17,第17章  糖及糖食,310,希腊,36100.0
201912,17,第17章  糖及糖食,312,西班牙,556563.0
201912,17,第17章  糖及糖食,314,安道尔,75.0
201912,17,第17章  糖及糖食,315,奥地利,1274863.0
201912,17,第17章  糖及糖食,318,芬兰,103.0
201912,17,第17章  糖及糖食,321,匈牙利,68216.0
201912,17,第17章  糖及糖食,326,挪威,155155.0
201912,17,第17章  糖及糖食,327,波兰,866555.0
201912,17,第17章  糖及糖食,410,巴西,17996008.0
201912,17,第17章  糖及糖食,429,墨西哥,277363.0
201912,17,第17章  糖及糖食,501,加拿大,575709.0
201912,17,第17章  糖及糖食,503,格陵兰,2976.0
201912,18,第18章  可可及可可制品,129,菲律宾,297648.0
201912,18,第18章  可可及可可制品,137,土耳其,1198920.0
201912,18,第18章  可可及可可制品,138,阿联酋,111184.0
