商品编码,商品名称,美元
1,第1章 活动物,42669773
2,第2章 肉及食用...,84367708
3,第3章 鱼、甲壳...,815859473
4,第4章 乳品；蛋...,63993199
5,第5章 其他动物...,124400408
6,第6章 活树及其...,47161667
7,第7章 食用蔬菜...,957240684
8,第8章 食用水果...,554287245
9,第9章 咖啡、茶...,318257406
10,第10章 谷物,106736399
11,第11章 制粉工业...,67923691
12,第12章 含油子仁...,210266874
13,第13章 虫胶；树...,178845134
14,第14章 编结用植...,20921367
15,动、植物或微生物油、...,318668840
16,第16章 肉、鱼、...,917592921
17,第17章 糖及糖食,271279945
18,第18章 可可及可...,49986485
19,第19章 谷物、粮...,224485503
20,第20章 蔬菜、水...,782870822
21,第21章 杂项食品,588239295
22,第22章 饮料、酒...,283913158
23,第23章 食品工业...,317423645
24,第24章 烟草、烟...,796965116
25,第25章 盐；硫磺...,268607376
26,第26章 矿砂、矿...,364047524
27,第27章 矿物燃料...,5501391635
28,第28章 无机化学...,2618094571
29,第29章 有机化学...,6403601543
30,第30章 药品,990015978
31,第31章 肥料,1082853072
32,第32章 鞣料浸膏...,809912703
33,第33章 精油及香...,711683989
34,第34章 肥皂、有...,638910080
35,第35章 蛋白类物...,387990630
36,第36章 炸药；烟...,49576812
37,第37章 照相及电...,108111417
38,第38章 杂项化学...,2779501921
39,第39章 塑料及其...,10857236819
40,第40章 橡胶及其...,2869816684
41,第41章 生皮（毛...,69850929
42,第42章 皮革制品...,3061919044
43,第43章 毛皮、人...,149859554
44,第44章 木及木制...,1307262197
45,第45章 软木及软...,4599937
46,第46章 稻草、秸...,122472925
47,第47章 木浆及其...,22032615
48,第48章 纸及纸板...,2431844611
49,第49章 书籍、报...,366892152
50,第50章 蚕丝,67145565
51,第51章 羊毛、动...,163828198
52,第52章 棉花,909608607
53,第53章 其他植物...,176278690
54,第54章 化学纤维...,2419772346
55,第55章 化学纤维...,1085596228
56,第56章 絮胎、毡...,627725946
57,第57章 地毯及纺...,335204792
58,第58章 特种机织...,457997824
59,第59章 浸渍、涂...,757843072
60,第60章 针织物及...,1884830162
61,第61章 针织或钩...,7730802477
62,第62章 非针织或...,5977751626
63,第63章 其他纺织...,2925812037
64,第64章 鞋靴、护...,4135469179
65,第65章 帽类及其...,485391090
66,第66章 雨伞、阳...,219254451
67,第67章 已加工羽...,777490306
68,第68章 石料、石...,951870974
69,第69章 陶瓷产品,2086189395
70,第70章 玻璃及其...,2033054597
71,第71章 天然或养...,2692749716
72,第72章 钢铁,5330020172
73,第73章 钢铁制品,7759404775
74,第74章 铜及其制...,805955521
75,第75章 镍及其制...,137560725
76,第76章 铝及其制...,2852771147
78,第78章 铅及其制...,84349663
79,第79章 锌及其制...,12194502
80,第80章 锡及其制...,22339112
81,第81章 其他贱金...,402568109
82,第82章 贱金属工...,1964477662
83,第83章 贱金属杂...,2148925078
84,第84章 核反应堆...,43725811082
85,第85章 电机、电...,85161238169
86,第86章 铁道及电...,1019372872
87,第87章 车辆及其...,16949266209
88,第88章 航空器、...,647506184
89,第89章 船舶及浮...,2221994816
90,第90章 光学、照...,6141866936
91,第91章 钟表及其...,420735333
92,第92章 乐器及其...,210001627
93,第93章 武器、弹...,20035537
94,第94章 家具；寝...,10042763283
95,第95章 玩具、游...,8777745269
96,第96章 杂项制品,2332288621
97,第97章 艺术品、...,64697637
98,第98章 特殊交易...,5981750718
99,跨境电商B2B简化申...,236328535
