商品编码,商品名称,美元
1,第1章 活动物,39644866
2,第2章 肉及食用...,85018979
3,第3章 鱼、甲壳...,799268171
4,第4章 乳品；蛋...,59675595
5,第5章 其他动物...,135194087
6,第6章 活树及其...,39138487
7,第7章 食用蔬菜...,1042616484
8,第8章 食用水果...,507614127
9,第9章 咖啡、茶...,344548275
10,第10章 谷物,95865522
11,第11章 制粉工业...,62965935
12,第12章 含油子仁...,177477588
13,第13章 虫胶；树...,183192281
14,第14章 编结用植...,17135700
15,动、植物或微生物油、...,292536031
16,第16章 肉、鱼、...,875069467
17,第17章 糖及糖食,267974727
18,第18章 可可及可...,41779091
19,第19章 谷物、粮...,232210423
20,第20章 蔬菜、水...,681849791
21,第21章 杂项食品,687193354
22,第22章 饮料、酒...,256015286
23,第23章 食品工业...,306375245
24,第24章 烟草、烟...,733181561
25,第25章 盐；硫磺...,293774481
26,第26章 矿砂、矿...,264692168
27,第27章 矿物燃料...,5646132955
28,第28章 无机化学...,2689231879
29,第29章 有机化学...,5913097736
30,第30章 药品,933650878
31,第31章 肥料,838555221
32,第32章 鞣料浸膏...,763285243
33,第33章 精油及香...,754726403
34,第34章 肥皂、有...,637557943
35,第35章 蛋白类物...,375217855
36,第36章 炸药；烟...,105661245
37,第37章 照相及电...,100345641
38,第38章 杂项化学...,2668628968
39,第39章 塑料及其...,10788854572
40,第40章 橡胶及其...,2916615169
41,第41章 生皮（毛...,80737048
42,第42章 皮革制品...,3118463389
43,第43章 毛皮、人...,151048764
44,第44章 木及木制...,1326933928
45,第45章 软木及软...,3236743
46,第46章 稻草、秸...,127713543
47,第47章 木浆及其...,27676779
48,第48章 纸及纸板...,2483202665
49,第49章 书籍、报...,394990375
50,第50章 蚕丝,64919774
51,第51章 羊毛、动...,161892969
52,第52章 棉花,909516179
53,第53章 其他植物...,111860830
54,第54章 化学纤维...,2481748444
55,第55章 化学纤维...,1093937094
56,第56章 絮胎、毡...,626391903
57,第57章 地毯及纺...,337972117
58,第58章 特种机织...,454827069
59,第59章 浸渍、涂...,773755658
60,第60章 针织物及...,1974398991
61,第61章 针织或钩...,8689335103
62,第62章 非针织或...,6800354686
63,第63章 其他纺织...,2962436067
64,第64章 鞋靴、护...,4533174209
65,第65章 帽类及其...,557910039
66,第66章 雨伞、阳...,233801482
67,第67章 已加工羽...,814285958
68,第68章 石料、石...,988646241
69,第69章 陶瓷产品,2116965897
70,第70章 玻璃及其...,2150265893
71,第71章 天然或养...,2771422290
72,第72章 钢铁,5528452938
73,第73章 钢铁制品,7929337915
74,第74章 铜及其制...,795126473
75,第75章 镍及其制...,94241106
76,第76章 铝及其制...,2946739991
78,第78章 铅及其制...,20809359
79,第79章 锌及其制...,14260165
80,第80章 锡及其制...,26906993
81,第81章 其他贱金...,354960254
82,第82章 贱金属工...,2007337415
83,第83章 贱金属杂...,2189536626
84,第84章 核反应堆...,42176204231
85,第85章 电机、电...,72129032951
86,第86章 铁道及电...,956068500
87,第87章 车辆及其...,16144248537
88,第88章 航空器、...,627742612
89,第89章 船舶及浮...,2600993933
90,第90章 光学、照...,5819599744
91,第91章 钟表及其...,422006052
92,第92章 乐器及其...,201284134
93,第93章 武器、弹...,18340617
94,第94章 家具；寝...,10118541285
95,第95章 玩具、游...,9923492618
96,第96章 杂项制品,2284663642
97,第97章 艺术品、...,107335744
98,第98章 特殊交易...,5248808839
99,跨境电商B2B简化申...,175342701
