商品编码,商品名称,美元
1,第1章 活动物,49928806
2,第2章 肉及食用...,74931484
3,第3章 鱼、甲壳...,676270497
4,第4章 乳品；蛋...,56040713
5,第5章 其他动物...,116809245
6,第6章 活树及其...,40893099
7,第7章 食用蔬菜...,757241556
8,第8章 食用水果...,386308510
9,第9章 咖啡、茶...,270197892
10,第10章 谷物,44325894
11,第11章 制粉工业...,76052494
12,第12章 含油子仁...,263272368
13,第13章 虫胶；树...,207927115
14,第14章 编结用植...,19052876
15,动、植物或微生物油、...,206280930
16,第16章 肉、鱼、...,705050165
17,第17章 糖及糖食,170255793
18,第18章 可可及可...,20928581
19,第19章 谷物、粮...,177730544
20,第20章 蔬菜、水...,861139141
21,第21章 杂项食品,484202386
22,第22章 饮料、酒...,205815363
23,第23章 食品工业...,249031387
24,第24章 烟草、烟...,417170483
25,第25章 盐；硫磺...,273227123
26,第26章 矿砂、矿...,283824796
27,第27章 矿物燃料...,5946363878
28,第28章 无机化学...,3233550620
29,第29章 有机化学...,6390741245
30,第30章 药品,876410734
31,第31章 肥料,579583763
32,第32章 鞣料浸膏...,745724797
33,第33章 精油及香...,386909937
34,第34章 肥皂、有...,439699818
35,第35章 蛋白类物...,319079009
36,第36章 炸药；烟...,40040038
37,第37章 照相及电...,98995283
38,第38章 杂项化学...,2589607348
39,第39章 塑料及其...,7869232972
40,第40章 橡胶及其...,2169269255
41,第41章 生皮（毛...,63970651
42,第42章 皮革制品...,1624418557
43,第43章 毛皮、人...,57470434
44,第44章 木及木制...,750641726
45,第45章 软木及软...,2115127
46,第46章 稻草、秸...,91616167
47,第47章 木浆及其...,20741585
48,第48章 纸及纸板...,1697597687
49,第49章 书籍、报...,215214035
50,第50章 蚕丝,44223205
51,第51章 羊毛、动...,140764062
52,第52章 棉花,655842603
53,第53章 其他植物...,50197330
54,第54章 化学纤维...,1448591186
55,第55章 化学纤维...,698100013
56,第56章 絮胎、毡...,425862025
57,第57章 地毯及纺...,211397873
58,第58章 特种机织...,253765577
59,第59章 浸渍、涂...,484399219
60,第60章 针织物及...,939007069
61,第61章 针织或钩...,3557998406
62,第62章 非针织或...,3298267131
63,第63章 其他纺织...,1734328691
64,第64章 鞋靴、护...,2455661135
65,第65章 帽类及其...,304637685
66,第66章 雨伞、阳...,175409732
67,第67章 已加工羽...,539443083
68,第68章 石料、石...,778750570
69,第69章 陶瓷产品,1198832996
70,第70章 玻璃及其...,1554667491
71,第71章 天然或养...,1994701049
72,第72章 钢铁,5383317766
73,第73章 钢铁制品,5214035586
74,第74章 铜及其制...,904460910
75,第75章 镍及其制...,208456300
76,第76章 铝及其制...,2170160335
78,第78章 铅及其制...,36720361
79,第79章 锌及其制...,11958604
80,第80章 锡及其制...,25422597
81,第81章 其他贱金...,371347214
82,第82章 贱金属工...,1075290116
83,第83章 贱金属杂...,1049881021
84,第84章 核反应堆...,32607347482
85,第85章 电机、电...,59235240866
86,第86章 铁道及电...,637720665
87,第87章 车辆及其...,11954271168
88,第88章 航空器、...,349100145
89,第89章 船舶及浮...,1699541883
90,第90章 光学、照...,4438506373
91,第91章 钟表及其...,242438083
92,第92章 乐器及其...,89461658
93,第93章 武器、弹...,8434557
94,第94章 家具；寝...,5114255546
95,第95章 玩具、游...,4358373102
96,第96章 杂项制品,1248398800
97,第97章 艺术品、...,39446864
98,第98章 特殊交易...,4078967214
99,跨境电商B2B简化申...,203796773
