商品编码,商品名称,美元
1,第1章   活动物,"35,125,071"
2,第2章   肉及食用杂碎,"120,638,897"
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,"938,055,168"
4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,"73,916,953"
5,第5章   其他动物产品,"197,347,549"
6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,"49,801,859"
7,第7章   食用蔬菜、根及块茎,"909,124,536"
8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,"480,974,599"
9,第9章   咖啡、茶、马黛茶及调味香料,"299,340,868"
10,第10章  谷物,"88,038,307"
11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,"110,130,224"
12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,"283,830,996"
13,第13章  虫胶；树胶、树脂及其他植物液、汁,"177,273,028"
14,第14章  编结用植物材料；其他植物产品,"27,962,458"
15,动、植物或微生物油、脂及其分解产品；精制的食用油脂；动、植物蜡,"319,854,711"
16,第16章  肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物、昆虫的制品,"956,794,994"
17,第17章  糖及糖食,"279,532,978"
18,第18章  可可及可可制品,"40,793,684"
19,第19章  谷物、粮食粉、淀粉或乳的制品；糕饼点心,"247,000,724"
20,第20章  蔬菜、水果、坚果或植物其他部分的制品,"694,518,149"
21,第21章  杂项食品,"617,334,198"
22,第22章  饮料、酒及醋,"290,239,011"
23,第23章  食品工业的残渣及废料；配制的动物饲料,"362,641,493"
24,第24章  烟草、烟草及烟草代用品的制品；非经燃烧吸用的产品，不论是否含有尼古丁；其他供人体摄入尼古丁的含尼古丁的产品,"612,166,256"
25,第25章  盐；硫磺；泥土及石料；石膏料、石灰及水泥,"273,299,990"
26,第26章  矿砂、矿渣及矿灰,"368,367,107"
27,第27章  矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,"3,692,882,443"
28,第28章  无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,"2,174,512,030"
29,第29章  有机化学品,"7,070,806,039"
30,第30章  药品,"1,300,642,373"
31,第31章  肥料,"694,862,027"
32,第32章  鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,"821,377,570"
33,第33章  精油及香膏；芳香料制品及化妆盥洗品,"705,245,684"
34,第34章  肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,"770,915,027"
35,第35章  蛋白类物质；改性淀粉；胶；酶,"446,629,545"
36,第36章  炸药；烟火制品；引火合金；易燃材料制品,"104,205,339"
37,第37章  照相及电影用品,"116,695,918"
38,第38章  杂项化学产品,"2,689,299,150"
39,第39章  塑料及其制品,"12,486,025,399"
40,第40章  橡胶及其制品,"3,266,312,646"
41,第41章  生皮（毛皮除外）及皮革,"98,738,297"
42,第42章  皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,"3,178,873,854"
43,第43章  毛皮、人造毛皮及其制品,"66,304,819"
44,第44章  木及木制品；木炭,"1,471,014,316"
45,第45章  软木及软木制品,"4,521,482"
46,第46章  稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品,"103,304,146"
47,第47章  木浆及其他纤维状纤维素浆；回收（废碎）纸及纸板,"30,100,842"
48,第48章  纸及纸板；纸浆、纸或纸板制品,"2,548,772,517"
49,第49章  书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸,"343,811,247"
50,第50章  蚕丝,"62,462,169"
