数据年月,商品编码,商品名称,美元
202412,88,第88章  航空器、航天器及其零件,1522915097.0
202412,89,第89章  船舶及浮动结构体,7260716.0
202412,90,第90章  光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件,7361652631.0
202412,91,第91章  钟表及其零件,284386471.0
202412,92,第92章  乐器及其零件、附件,28977970.0
202412,93,第93章  武器、弹药及其零件、附件,680674.0
202412,94,第94章  家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品；未列名灯具及照明装置；发光标志、发光铭牌及类似品；活动房屋,240853555.0
202412,95,第95章  玩具、游戏品、运动用品及其零件、附件,221866886.0
202412,96,第96章  杂项制品,98124616.0
202412,97,第97章  艺术品、收藏品及古物,73482214.0
202412,98,第98章  特殊交易品及未分类商品,731064604.0
