商品编码,商品名称,人民币
1,第1章 活动物,115521680
2,第2章 肉及食用...,15828802738
3,第3章 鱼、甲壳...,12190385594
4,第4章 乳品；蛋...,4920456284
5,第5章 其他动物...,776437580
6,第6章 活树及其...,109842307
7,第7章 食用蔬菜...,996084213
8,第8章 食用水果...,18637505735
9,第9章 咖啡、茶...,1510699126
10,第10章 谷物,14161845307
11,第11章 制粉工业...,1268159229
12,第12章 含油子仁...,36283406001
13,第13章 虫胶；树...,249419681
14,第14章 编结用植...,94444401
15,动、植物或微生物油、...,8469562669
16,第16章 肉、鱼、...,330584097
17,第17章 糖及糖食,3642361216
18,第18章 可可及可...,676999339
19,第19章 谷物、粮...,2600577523
20,第20章 蔬菜、水...,2358043488
21,第21章 杂项食品,3666280929
22,第22章 饮料、酒...,2648507285
23,第23章 食品工业...,3893533393
24,第24章 烟草、烟...,1730348908
25,第25章 盐；硫磺...,8484229181
26,第26章 矿砂、矿...,172448079297
27,第27章 矿物燃料...,293033628582
28,第28章 无机化学...,10898063644
29,第29章 有机化学...,28388212338
30,第30章 药品,24502483417
31,第31章 肥料,4533503056
32,第32章 鞣料浸膏...,2718855897
33,第33章 精油及香...,9740496638
34,第34章 肥皂、有...,3089300830
35,第35章 蛋白类物...,2360094884
36,第36章 炸药；烟...,78549192
37,第37章 照相及电...,1774241020
38,第38章 杂项化学...,14257495208
39,第39章 塑料及其...,35324009681
40,第40章 橡胶及其...,10076199852
41,第41章 生皮（毛...,1957920976
42,第42章 皮革制品...,4837699655
43,第43章 毛皮、人...,181409369
44,第44章 木及木制...,10153614670
45,第45章 软木及软...,21123042
46,第46章 稻草、秸...,11508306
47,第47章 木浆及其...,12561974072
48,第48章 纸及纸板...,3959258708
49,第49章 书籍、报...,1216800232
50,第50章 蚕丝,65641771
51,第51章 羊毛、动...,1550655487
52,第52章 棉花,7452301658
53,第53章 其他植物...,1170624902
54,第54章 化学纤维...,1236103942
55,第55章 化学纤维...,803382469
56,第56章 絮胎、毡...,633576909
57,第57章 地毯及纺...,54762749
58,第58章 特种机织...,158201224
59,第59章 浸渍、涂...,693340148
60,第60章 针织物及...,355404151
61,第61章 针织或钩...,2696407206
62,第62章 非针织或...,4032106178
63,第63章 其他纺织...,199957202
64,第64章 鞋靴、护...,3933651721
65,第65章 帽类及其...,185905923
66,第66章 雨伞、阳...,4538707
67,第67章 已加工羽...,984374997
68,第68章 石料、石...,982664145
69,第69章 陶瓷产品,624209446
70,第70章 玻璃及其...,3570563874
71,第71章 天然或养...,121234748744
72,第72章 钢铁,23082923403
73,第73章 钢铁制品,5053025920
74,第74章 铜及其制...,41827998930
75,第75章 镍及其制...,5151167585
76,第76章 铝及其制...,9886207736
78,第78章 铅及其制...,62912733
79,第79章 锌及其制...,568923625
80,第80章 锡及其制...,799426096
81,第81章 其他贱金...,3189423617
82,第82章 贱金属工...,1592119170
83,第83章 贱金属杂...,884621424
84,第84章 核反应堆...,116831014294
85,第85章 电机、电...,325686506188
86,第86章 铁道及电...,308669695
87,第87章 车辆及其...,36241789454
88,第88章 航空器、...,5124924777
89,第89章 船舶及浮...,207150968
90,第90章 光学、照...,43120851796
91,第91章 钟表及其...,2407043499
92,第92章 乐器及其...,196506888
93,第93章 武器、弹...,779612
94,第94章 家具；寝...,1320703684
95,第95章 玩具、游...,1364950785
96,第96章 杂项制品,655167317
97,第97章 艺术品、...,217141306
98,第98章 特殊交易...,7649354600
