商品编码,商品名称,人民币
1,第1章   活动物,523974461.0
2,第2章   肉及食用杂碎,14296337960.0
3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,11732558749.0
4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,5030337734.0
5,第5章   其他动物产品,693275373.0
6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,183570814.0
7,第7章   食用蔬菜、根及块茎,1938703792.0
8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,14042893321.0
9,第9章   咖啡、茶、马黛茶及调味香料,1664032846.0
10,第10章  谷物,4691585888.0
11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,1051667505.0
12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,40415377216.0
13,第13章  虫胶；树胶、树脂及其他植物液、汁,234737570.0
14,第14章  编结用植物材料；其他植物产品,136793533.0
15,动、植物或微生物油、脂及其分解产品；精制的食用油脂；动、植物蜡,8476813566.0
16,第16章  肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物、昆虫的制品,357799377.0
17,第17章  糖及糖食,2932384928.0
18,第18章  可可及可可制品,1059572526.0
19,第19章  谷物、粮食粉、淀粉或乳的制品；糕饼点心,4317537723.0
20,第20章  蔬菜、水果、坚果或植物其他部分的制品,1459835335.0
21,第21章  杂项食品,5253532146.0
22,第22章  饮料、酒及醋,3561083960.0
23,第23章  食品工业的残渣及废料；配制的动物饲料,4360462123.0
24,第24章  烟草、烟草及烟草代用品的制品；非经燃烧吸用的产品，不论是否含有尼古丁；其他供人体摄入尼古丁的含尼古丁的产品,795827836.0
25,第25章  盐；硫磺；泥土及石料；石膏料、石灰及水泥,8581224595.0
26,第26章  矿砂、矿渣及矿灰,158362619997.0
27,第27章  矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,259472221300.0
28,第28章  无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,10979432617.0
29,第29章  有机化学品,32262144405.0
30,第30章  药品,25231952573.0
31,第31章  肥料,1792281463.0
32,第32章  鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,3315509913.0
33,第33章  精油及香膏；芳香料制品及化妆盥洗品,9804555143.0
34,第34章  肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,3343790205.0
35,第35章  蛋白类物质；改性淀粉；胶；酶,3106148816.0
36,第36章  炸药；烟火制品；引火合金；易燃材料制品,67556673.0
37,第37章  照相及电影用品,2548498241.0
38,第38章  杂项化学产品,14826891243.0
39,第39章  塑料及其制品,35321554901.0
40,第40章  橡胶及其制品,11192367185.0
41,第41章  生皮（毛皮除外）及皮革,1435569349.0
42,第42章  皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,3768446562.0
43,第43章  毛皮、人造毛皮及其制品,473438383.0
44,第44章  木及木制品；木炭,9805407555.0
45,第45章  软木及软木制品,26344223.0
46,第46章  稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品,15190638.0
47,第47章  木浆及其他纤维状纤维素浆；回收（废碎）纸及纸板,12753347526.0
48,第48章  纸及纸板；纸浆、纸或纸板制品,3301122293.0
49,第49章  书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸,944556139.0
50,第50章  蚕丝,68439932.0
51,第51章  羊毛、动物细毛或粗毛；马毛纱线及其机织物,1597618991.0
52,第52章  棉花,2579031550.0
53,第53章  其他植物纺织纤维；纸纱线及其机织物,984637826.0
54,第54章  化学纤维长丝；化学纤维纺织材料制扁条及类似品,1116562941.0
55,第55章  化学纤维短纤,737932895.0
56,第56章  絮胎、毡呢及无纺织物；特种纱线；线、绳、索、缆及其制品,744635120.0
57,第57章  地毯及纺织材料的其他铺地制品,64653889.0
58,第58章  特种机织物；簇绒织物；花边；装饰毯；装饰带；刺绣品,163221077.0
59,第59章  浸渍、涂布、包覆或层压的纺织物；工业用纺织制品,807537332.0
60,第60章  针织物及钩编织物,353056767.0
61,第61章  针织或钩编的服装及衣着附件,2406231030.0
62,第62章  非针织或非钩编的服装及衣着附件,3705616826.0
63,第63章  其他纺织制成品；成套物品；旧衣着及旧纺织品；碎织物,207674274.0
64,第64章  鞋靴、护腿和类似品及其零件,3731692587.0
65,第65章  帽类及其零件,196591304.0
66,第66章  雨伞、阳伞、手杖、鞭子、马鞭及其零件,8709287.0
67,第67章  已加工羽毛、羽绒及其制品；人造花；人发制品,955020257.0
68,第68章  石料、石膏、水泥、石棉、云母及类似材料的制品,1229601502.0
69,第69章  陶瓷产品,971174101.0
70,第70章  玻璃及其制品,4018985251.0
71,第71章  天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币,89159652334.0
72,第72章  钢铁,16568632599.0
73,第73章  钢铁制品,5494636398.0
74,第74章  铜及其制品,46738520325.0
75,第75章  镍及其制品,10190181216.0
76,第76章  铝及其制品,10578992233.0
78,第78章  铅及其制品,255148567.0
79,第79章  锌及其制品,487143935.0
80,第80章  锡及其制品,643893813.0
81,第81章  其他贱金属、金属陶瓷及其制品,1890053080.0
82,第82章  贱金属工具、器具、利口器、餐匙、餐叉及其零件,1612029267.0
83,第83章  贱金属杂项制品,1089370271.0
84,第84章  核反应堆、锅炉、机器、机械器具及零件,154046854155.0
85,第85章  电机、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件,393309671205.0
86,第86章  铁道及电车道机车、车辆及其零件；铁道及电车道轨道固定装置及其零件；附件；各种机械（包括电动机械）交通信号设备,463402016.0
87,第87章  车辆及其零件、附件，但铁道及电车道车辆除外,29758221970.0
88,第88章  航空器、航天器及其零件,10706719008.0
89,第89章  船舶及浮动结构体,73708789.0
90,第90章  光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件,49714774221.0
91,第91章  钟表及其零件,2253471209.0
92,第92章  乐器及其零件、附件,185876300.0
93,第93章  武器、弹药及其零件、附件,12144409.0
94,第94章  家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品；未列名灯具及照明装置；发光标志、发光铭牌及类似品；活动房屋,1328245443.0
95,第95章  玩具、游戏品、运动用品及其零件、附件,1946099146.0
96,第96章  杂项制品,718258298.0
97,第97章  艺术品、收藏品及古物,105687780.0
98,第98章  特殊交易品及未分类商品,4650790652.0
