数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
201502,1,第1章   活动物,124,蒙古,695517.0
201502,1,第1章   活动物,129,菲律宾,324688.0
201502,1,第1章   活动物,244,南非,1327359.0
201502,1,第1章   活动物,301,比利时,68512.0
201502,1,第1章   活动物,305,法国,4840720.0
201502,1,第1章   活动物,309,荷兰,1902343.0
201502,1,第1章   活动物,315,奥地利,329.0
201502,1,第1章   活动物,444,乌拉圭,57809697.0
201502,2,第2章   肉及食用杂碎,124,蒙古,374857.0
201502,2,第2章   肉及食用杂碎,301,比利时,3128052.0
201502,2,第2章   肉及食用杂碎,305,法国,48058086.0
201502,2,第2章   肉及食用杂碎,306,爱尔兰,26036983.0
201502,2,第2章   肉及食用杂碎,309,荷兰,32557324.0
201502,2,第2章   肉及食用杂碎,312,西班牙,102089291.0
201502,2,第2章   肉及食用杂碎,321,匈牙利,18909617.0
201502,2,第2章   肉及食用杂碎,327,波兰,6006177.0
201502,2,第2章   肉及食用杂碎,410,巴西,246221420.0
201502,2,第2章   肉及食用杂碎,415,哥斯达黎加,7593922.0
201502,2,第2章   肉及食用杂碎,444,乌拉圭,211533763.0
201502,2,第2章   肉及食用杂碎,501,加拿大,81016159.0
201502,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,109,朝鲜,36546605.0
201502,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,123,马尔代夫,26981.0
201502,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,124,蒙古,233431.0
201502,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,127,巴基斯坦,12873489.0
201502,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,129,菲律宾,18480687.0
201502,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,220,加纳,1529648.0
201502,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,224,肯尼亚,1622223.0
201502,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,227,马达加斯加,13204880.0
201502,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,233,莫桑比克,5315876.0
201502,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,244,南非,6991924.0
201502,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,305,法国,6245719.0
201502,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,306,爱尔兰,9614134.0
201502,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,309,荷兰,10160510.0
201502,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,312,西班牙,9174466.0
201502,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,326,挪威,133521465.0
201502,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,357,法罗群岛,39880739.0
201502,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,410,巴西,2669263.0
201502,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,429,墨西哥,8588305.0
201502,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,444,乌拉圭,632072.0
201502,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,501,加拿大,239452971.0
201502,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,503,格陵兰,26388022.0
201502,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,621,马绍尔群岛,1343862.0
201502,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,137,土耳其,191503.0
201502,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,301,比利时,5203023.0
201502,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,305,法国,42379517.0
201502,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,306,爱尔兰,26422456.0
201502,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,307,意大利,5701026.0
201502,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,309,荷兰,36024951.0
201502,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,312,西班牙,3569099.0
201502,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,315,奥地利,2392221.0
201502,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,316,保加利亚,9959.0
201502,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,318,芬兰,7417500.0
201502,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,321,匈牙利,74699.0
201502,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,327,波兰,10059319.0
201502,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,410,巴西,106843.0
201502,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,444,乌拉圭,2902001.0
201502,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,501,加拿大,1402552.0
201502,5,第5章   其他动物产品,109,朝鲜,780775.0
201502,5,第5章   其他动物产品,127,巴基斯坦,116955.0
201502,5,第5章   其他动物产品,129,菲律宾,478315.0
201502,5,第5章   其他动物产品,244,南非,73011.0
201502,5,第5章   其他动物产品,301,比利时,139490.0
201502,5,第5章   其他动物产品,305,法国,5450044.0
201502,5,第5章   其他动物产品,307,意大利,477502.0
201502,5,第5章   其他动物产品,309,荷兰,19430300.0
201502,5,第5章   其他动物产品,310,希腊,141811.0
201502,5,第5章   其他动物产品,312,西班牙,11899231.0
201502,5,第5章   其他动物产品,315,奥地利,926258.0
201502,5,第5章   其他动物产品,321,匈牙利,75701.0
201502,5,第5章   其他动物产品,501,加拿大,6746561.0
201502,6,第6章   活树及其他活植物;鳞茎、根及类似品;插花及装饰用簇叶,109,朝鲜,148656.0
201502,6,第6章   活树及其他活植物;鳞茎、根及类似品;插花及装饰用簇叶,224,肯尼亚,1008180.0
201502,6,第6章   活树及其他活植物;鳞茎、根及类似品;插花及装饰用簇叶,244,南非,309041.0
201502,6,第6章   活树及其他活植物;鳞茎、根及类似品;插花及装饰用簇叶,250,乌干达,134069.0
201502,6,第6章   活树及其他活植物;鳞茎、根及类似品;插花及装饰用簇叶,254,津巴布韦,29555.0
201502,6,第6章   活树及其他活植物;鳞茎、根及类似品;插花及装饰用簇叶,301,比利时,2071789.0
201502,6,第6章   活树及其他活植物;鳞茎、根及类似品;插花及装饰用簇叶,305,法国,4158.0
201502,6,第6章   活树及其他活植物;鳞茎、根及类似品;插花及装饰用簇叶,307,意大利,40105.0
201502,6,第6章   活树及其他活植物;鳞茎、根及类似品;插花及装饰用簇叶,309,荷兰,14389558.0
201502,6,第6章   活树及其他活植物;鳞茎、根及类似品;插花及装饰用簇叶,312,西班牙,125587.0
201502,6,第6章   活树及其他活植物;鳞茎、根及类似品;插花及装饰用簇叶,326,挪威,32647.0
201502,6,第6章   活树及其他活植物;鳞茎、根及类似品;插花及装饰用簇叶,327,波兰,8339.0
201502,6,第6章   活树及其他活植物;鳞茎、根及类似品;插花及装饰用簇叶,415,哥斯达黎加,296838.0
201502,6,第6章   活树及其他活植物;鳞茎、根及类似品;插花及装饰用簇叶,444,乌拉圭,542005.0
201502,7,第7章   食用蔬菜、根及块茎,109,朝鲜,5541417.0
201502,7,第7章   食用蔬菜、根及块茎,127,巴基斯坦,2864864.0
201502,7,第7章   食用蔬菜、根及块茎,137,土耳其,48751.0
201502,7,第7章   食用蔬菜、根及块茎,301,比利时,359444.0
201502,7,第7章   食用蔬菜、根及块茎,307,意大利,2738.0
201502,7,第7章   食用蔬菜、根及块茎,309,荷兰,376224.0
201502,7,第7章   食用蔬菜、根及块茎,312,西班牙,131051.0
201502,7,第7章   食用蔬菜、根及块茎,315,奥地利,15394.0
201502,7,第7章   食用蔬菜、根及块茎,327,波兰,419545.0
201502,7,第7章   食用蔬菜、根及块茎,429,墨西哥,164008.0
201502,7,第7章   食用蔬菜、根及块茎,501,加拿大,141799853.0
201502,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,108,塞浦路斯,154199.0
201502,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,109,朝鲜,13847498.0
201502,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,124,蒙古,22884733.0
201502,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,127,巴基斯坦,31932428.0
201502,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,129,菲律宾,268786768.0
201502,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,137,土耳其,6052991.0
201502,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,138,阿联酋,318234.0
201502,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,147,塔吉克斯坦,1460882.0
201502,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,244,南非,64861556.0
201502,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,301,比利时,914424.0
201502,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,305,法国,6069365.0
201502,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,307,意大利,22674345.0
201502,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,309,荷兰,1478577.0
201502,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,310,希腊,3747043.0
201502,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,312,西班牙,10994.0
201502,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,316,保加利亚,376930.0
201502,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,318,芬兰,4137881.0
201502,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,327,波兰,460980.0
201502,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,415,哥斯达黎加,678217.0
201502,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,429,墨西哥,10284126.0
201502,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,501,加拿大,1487419.0
201502,9,第9章   咖啡、茶、马黛茶及调味香料,137,土耳其,94582.0
201502,9,第9章   咖啡、茶、马黛茶及调味香料,138,阿联酋,2038.0
201502,9,第9章   咖啡、茶、马黛茶及调味香料,224,肯尼亚,1706818.0
201502,9,第9章   咖啡、茶、马黛茶及调味香料,227,马达加斯加,2021917.0
201502,9,第9章   咖啡、茶、马黛茶及调味香料,244,南非,246400.0
201502,9,第9章   咖啡、茶、马黛茶及调味香料,250,乌干达,1341114.0
201502,9,第9章   咖啡、茶、马黛茶及调味香料,301,比利时,54311.0
201502,9,第9章   咖啡、茶、马黛茶及调味香料,305,法国,98060.0
201502,9,第9章   咖啡、茶、马黛茶及调味香料,307,意大利,9006733.0
201502,9,第9章   咖啡、茶、马黛茶及调味香料,309,荷兰,49911.0
201502,9,第9章   咖啡、茶、马黛茶及调味香料,312,西班牙,1676.0
201502,9,第9章   咖啡、茶、马黛茶及调味香料,315,奥地利,305663.0
201502,9,第9章   咖啡、茶、马黛茶及调味香料,327,波兰,1004510.0
201502,9,第9章   咖啡、茶、马黛茶及调味香料,410,巴西,4737214.0
201502,9,第9章   咖啡、茶、马黛茶及调味香料,415,哥斯达黎加,115392.0
201502,9,第9章   咖啡、茶、马黛茶及调味香料,427,牙买加,182812.0
201502,9,第9章   咖啡、茶、马黛茶及调味香料,429,墨西哥,36503.0
201502,9,第9章   咖啡、茶、马黛茶及调味香料,501,加拿大,241381.0
201502,10,第10章  谷物,127,巴基斯坦,40977128.0
201502,10,第10章  谷物,305,法国,146375344.0
201502,10,第10章  谷物,316,保加利亚,14076601.0
201502,10,第10章  谷物,429,墨西哥,25300.0
201502,10,第10章  谷物,501,加拿大,344296249.0
201502,11,第11章  制粉工业产品;麦芽;淀粉;菊粉;面筋,109,朝鲜,212049.0
201502,11,第11章  制粉工业产品;麦芽;淀粉;菊粉;面筋,301,比利时,2450806.0
201502,11,第11章  制粉工业产品;麦芽;淀粉;菊粉;面筋,305,法国,350618.0
201502,11,第11章  制粉工业产品;麦芽;淀粉;菊粉;面筋,307,意大利,358098.0
201502,11,第11章  制粉工业产品;麦芽;淀粉;菊粉;面筋,309,荷兰,14286338.0
201502,11,第11章  制粉工业产品;麦芽;淀粉;菊粉;面筋,315,奥地利,30757.0
201502,11,第11章  制粉工业产品;麦芽;淀粉;菊粉;面筋,410,巴西,183339.0
201502,11,第11章  制粉工业产品;麦芽;淀粉;菊粉;面筋,501,加拿大,213242.0
201502,12,第12章  含油子仁及果实;杂项子仁及果仁;工业用或药用植物;稻草、秸秆及饲料,109,朝鲜,8342071.0
201502,12,第12章  含油子仁及果实;杂项子仁及果仁;工业用或药用植物;稻草、秸秆及饲料,124,蒙古,19723580.0
201502,12,第12章  含油子仁及果实;杂项子仁及果仁;工业用或药用植物;稻草、秸秆及饲料,127,巴基斯坦,1809685.0
201502,12,第12章  含油子仁及果实;杂项子仁及果仁;工业用或药用植物;稻草、秸秆及饲料,129,菲律宾,365993.0
201502,12,第12章  含油子仁及果实;杂项子仁及果仁;工业用或药用植物;稻草、秸秆及饲料,137,土耳其,387603.0
201502,12,第12章  含油子仁及果实;杂项子仁及果仁;工业用或药用植物;稻草、秸秆及饲料,224,肯尼亚,40435.0
201502,12,第12章  含油子仁及果实;杂项子仁及果仁;工业用或药用植物;稻草、秸秆及饲料,227,马达加斯加,1440.0
201502,12,第12章  含油子仁及果实;杂项子仁及果仁;工业用或药用植物;稻草、秸秆及饲料,233,莫桑比克,3810789.0
201502,12,第12章  含油子仁及果实;杂项子仁及果仁;工业用或药用植物;稻草、秸秆及饲料,235,尼日尔,126002292.0
201502,12,第12章  含油子仁及果实;杂项子仁及果仁;工业用或药用植物;稻草、秸秆及饲料,244,南非,1117858.0
201502,12,第12章  含油子仁及果实;杂项子仁及果仁;工业用或药用植物;稻草、秸秆及饲料,250,乌干达,26567931.0
201502,12,第12章  含油子仁及果实;杂项子仁及果仁;工业用或药用植物;稻草、秸秆及饲料,301,比利时,13568188.0
201502,12,第12章  含油子仁及果实;杂项子仁及果仁;工业用或药用植物;稻草、秸秆及饲料,305,法国,5074401.0
201502,12,第12章  含油子仁及果实;杂项子仁及果仁;工业用或药用植物;稻草、秸秆及饲料,307,意大利,3208874.0
201502,12,第12章  含油子仁及果实;杂项子仁及果仁;工业用或药用植物;稻草、秸秆及饲料,309,荷兰,2550583.0
201502,12,第12章  含油子仁及果实;杂项子仁及果仁;工业用或药用植物;稻草、秸秆及饲料,312,西班牙,25085462.0
201502,12,第12章  含油子仁及果实;杂项子仁及果仁;工业用或药用植物;稻草、秸秆及饲料,313,阿尔巴尼亚,2704.0
201502,12,第12章  含油子仁及果实;杂项子仁及果仁;工业用或药用植物;稻草、秸秆及饲料,321,匈牙利,1271.0
201502,12,第12章  含油子仁及果实;杂项子仁及果仁;工业用或药用植物;稻草、秸秆及饲料,326,挪威,187480.0
201502,12,第12章  含油子仁及果实;杂项子仁及果仁;工业用或药用植物;稻草、秸秆及饲料,327,波兰,413547.0
201502,12,第12章  含油子仁及果实;杂项子仁及果仁;工业用或药用植物;稻草、秸秆及饲料,336,立陶宛,636939.0
201502,12,第12章  含油子仁及果实;杂项子仁及果仁;工业用或药用植物;稻草、秸秆及饲料,340,白俄罗斯,453577.0
201502,12,第12章  含油子仁及果实;杂项子仁及果仁;工业用或药用植物;稻草、秸秆及饲料,410,巴西,247219.0
201502,12,第12章  含油子仁及果实;杂项子仁及果仁;工业用或药用植物;稻草、秸秆及饲料,429,墨西哥,342797.0
201502,12,第12章  含油子仁及果实;杂项子仁及果仁;工业用或药用植物;稻草、秸秆及饲料,501,加拿大,1017020137.0
201502,13,第13章  虫胶;树胶、树脂及其他植物液、汁,127,巴基斯坦,997969.0
201502,13,第13章  虫胶;树胶、树脂及其他植物液、汁,129,菲律宾,1163214.0
201502,13,第13章  虫胶;树胶、树脂及其他植物液、汁,137,土耳其,232021.0
201502,13,第13章  虫胶;树胶、树脂及其他植物液、汁,220,加纳,415890.0
201502,13,第13章  虫胶;树胶、树脂及其他植物液、汁,224,肯尼亚,838025.0
201502,13,第13章  虫胶;树胶、树脂及其他植物液、汁,227,马达加斯加,518091.0
201502,13,第13章  虫胶;树胶、树脂及其他植物液、汁,244,南非,48454.0
201502,13,第13章  虫胶;树胶、树脂及其他植物液、汁,301,比利时,192861.0
201502,13,第13章  虫胶;树胶、树脂及其他植物液、汁,305,法国,9767251.0
201502,13,第13章  虫胶;树胶、树脂及其他植物液、汁,307,意大利,1757517.0
201502,13,第13章  虫胶;树胶、树脂及其他植物液、汁,309,荷兰,10582.0
201502,13,第13章  虫胶;树胶、树脂及其他植物液、汁,312,西班牙,2586319.0
201502,13,第13章  虫胶;树胶、树脂及其他植物液、汁,410,巴西,4343192.0
201502,13,第13章  虫胶;树胶、树脂及其他植物液、汁,429,墨西哥,4278211.0
201502,14,第14章  编结用植物材料;其他植物产品,109,朝鲜,12254.0
201502,14,第14章  编结用植物材料;其他植物产品,127,巴基斯坦,65541.0
201502,14,第14章  编结用植物材料;其他植物产品,129,菲律宾,3078505.0
201502,14,第14章  编结用植物材料;其他植物产品,137,土耳其,2337536.0
201502,14,第14章  编结用植物材料;其他植物产品,220,加纳,129292.0
201502,14,第14章  编结用植物材料;其他植物产品,233,莫桑比克,43519.0
201502,14,第14章  编结用植物材料;其他植物产品,410,巴西,2820083.0
201502,14,第14章  编结用植物材料;其他植物产品,429,墨西哥,775857.0
201502,14,第14章  编结用植物材料;其他植物产品,501,加拿大,633191.0
201502,15,第15章  动、植物油、脂及其分解产品;精制的食用油脂;动、植物蜡,109,朝鲜,160297.0
201502,15,第15章  动、植物油、脂及其分解产品;精制的食用油脂;动、植物蜡,129,菲律宾,4175925.0
201502,15,第15章  动、植物油、脂及其分解产品;精制的食用油脂;动、植物蜡,137,土耳其,11130631.0
201502,15,第15章  动、植物油、脂及其分解产品;精制的食用油脂;动、植物蜡,138,阿联酋,37673354.0
201502,15,第15章  动、植物油、脂及其分解产品;精制的食用油脂;动、植物蜡,244,南非,5671.0
201502,15,第15章  动、植物油、脂及其分解产品;精制的食用油脂;动、植物蜡,301,比利时,6716897.0
201502,15,第15章  动、植物油、脂及其分解产品;精制的食用油脂;动、植物蜡,305,法国,1820534.0
201502,15,第15章  动、植物油、脂及其分解产品;精制的食用油脂;动、植物蜡,307,意大利,6204056.0
201502,15,第15章  动、植物油、脂及其分解产品;精制的食用油脂;动、植物蜡,309,荷兰,1829611.0
201502,15,第15章  动、植物油、脂及其分解产品;精制的食用油脂;动、植物蜡,310,希腊,994653.0
201502,15,第15章  动、植物油、脂及其分解产品;精制的食用油脂;动、植物蜡,312,西班牙,32391520.0
201502,15,第15章  动、植物油、脂及其分解产品;精制的食用油脂;动、植物蜡,315,奥地利,1574.0
201502,15,第15章  动、植物油、脂及其分解产品;精制的食用油脂;动、植物蜡,326,挪威,2292650.0
201502,15,第15章  动、植物油、脂及其分解产品;精制的食用油脂;动、植物蜡,340,白俄罗斯,69442.0
201502,15,第15章  动、植物油、脂及其分解产品;精制的食用油脂;动、植物蜡,410,巴西,32175341.0
201502,15,第15章  动、植物油、脂及其分解产品;精制的食用油脂;动、植物蜡,429,墨西哥,728888.0
201502,15,第15章  动、植物油、脂及其分解产品;精制的食用油脂;动、植物蜡,444,乌拉圭,1483010.0
201502,15,第15章  动、植物油、脂及其分解产品;精制的食用油脂;动、植物蜡,501,加拿大,128280056.0
201502,16,第16章  肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物的制品,109,朝鲜,50620.0
201502,16,第16章  肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物的制品,137,土耳其,1816527.0
201502,16,第16章  肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物的制品,305,法国,230708.0
201502,16,第16章  肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物的制品,307,意大利,1265474.0
201502,16,第16章  肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物的制品,312,西班牙,778735.0
201502,16,第16章  肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物的制品,429,墨西哥,12015.0
201502,16,第16章  肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物的制品,501,加拿大,1610786.0
201502,17,第17章  糖及糖食,129,菲律宾,242968.0
201502,17,第17章  糖及糖食,137,土耳其,2681737.0
201502,17,第17章  糖及糖食,138,阿联酋,1389.0
201502,17,第17章  糖及糖食,301,比利时,2395518.0
201502,17,第17章  糖及糖食,305,法国,3081781.0
201502,17,第17章  糖及糖食,306,爱尔兰,656646.0
201502,17,第17章  糖及糖食,307,意大利,640881.0
201502,17,第17章  糖及糖食,309,荷兰,2643158.0
201502,17,第17章  糖及糖食,310,希腊,6354.0
201502,17,第17章  糖及糖食,312,西班牙,391135.0
201502,17,第17章  糖及糖食,315,奥地利,231009.0
201502,17,第17章  糖及糖食,316,保加利亚,11342.0
201502,17,第17章  糖及糖食,318,芬兰,436944.0
201502,17,第17章  糖及糖食,321,匈牙利,9638.0
201502,17,第17章  糖及糖食,327,波兰,136016.0
201502,17,第17章  糖及糖食,410,巴西,261997828.0
201502,17,第17章  糖及糖食,415,哥斯达黎加,2458.0
201502,17,第17章  糖及糖食,429,墨西哥,123498.0
201502,17,第17章  糖及糖食,444,乌拉圭,2458.0
201502,17,第17章  糖及糖食,501,加拿大,458062.0
201502,18,第18章  可可及可可制品,129,菲律宾,11380.0
201502,18,第18章  可可及可可制品,137,土耳其,4021707.0
201502,18,第18章  可可及可可制品,138,阿联酋,10500.0
201502,18,第18章  可可及可可制品,220,加纳,21849809.0
201502,18,第18章  可可及可可制品,301,比利时,13593064.0
201502,18,第18章  可可及可可制品,305,法国,5500228.0
201502,18,第18章  可可及可可制品,306,爱尔兰,62274.0
201502,18,第18章  可可及可可制品,307,意大利,25191525.0
201502,18,第18章  可可及可可制品,309,荷兰,6347819.0
201502,18,第18章  可可及可可制品,310,希腊,22871.0
201502,18,第18章  可可及可可制品,312,西班牙,1575228.0
201502,18,第18章  可可及可可制品,315,奥地利,2328088.0
201502,18,第18章  可可及可可制品,316,保加利亚,37478.0
201502,18,第18章  可可及可可制品,318,芬兰,142529.0
201502,18,第18章  可可及可可制品,321,匈牙利,20592.0
201502,18,第18章  可可及可可制品,326,挪威,110798.0
201502,18,第18章  可可及可可制品,327,波兰,39003789.0
201502,18,第18章  可可及可可制品,410,巴西,26900.0
201502,18,第18章  可可及可可制品,429,墨西哥,1205138.0
201502,18,第18章  可可及可可制品,501,加拿大,1143275.0
201502,19,第19章  谷物、粮食粉、淀粉或乳的制品;糕饼点心,129,菲律宾,1501526.0
201502,19,第19章  谷物、粮食粉、淀粉或乳的制品;糕饼点心,137,土耳其,4776355.0
201502,19,第19章  谷物、粮食粉、淀粉或乳的制品;糕饼点心,138,阿联酋,12809.0
201502,19,第19章  谷物、粮食粉、淀粉或乳的制品;糕饼点心,301,比利时,1104882.0
201502,19,第19章  谷物、粮食粉、淀粉或乳的制品;糕饼点心,305,法国,27802861.0
201502,19,第19章  谷物、粮食粉、淀粉或乳的制品;糕饼点心,306,爱尔兰,194160364.0
201502,19,第19章  谷物、粮食粉、淀粉或乳的制品;糕饼点心,307,意大利,11623474.0
201502,19,第19章  谷物、粮食粉、淀粉或乳的制品;糕饼点心,309,荷兰,245505385.0
201502,19,第19章  谷物、粮食粉、淀粉或乳的制品;糕饼点心,310,希腊,3070088.0
201502,19,第19章  谷物、粮食粉、淀粉或乳的制品;糕饼点心,312,西班牙,5139079.0
201502,19,第19章  谷物、粮食粉、淀粉或乳的制品;糕饼点心,315,奥地利,5371716.0
201502,19,第19章  谷物、粮食粉、淀粉或乳的制品;糕饼点心,316,保加利亚,48002.0
201502,19,第19章  谷物、粮食粉、淀粉或乳的制品;糕饼点心,318,芬兰,239786.0
201502,19,第19章  谷物、粮食粉、淀粉或乳的制品;糕饼点心,321,匈牙利,157183.0
201502,19,第19章  谷物、粮食粉、淀粉或乳的制品;糕饼点心,326,挪威,10574.0
201502,19,第19章  谷物、粮食粉、淀粉或乳的制品;糕饼点心,327,波兰,424946.0
201502,19,第19章  谷物、粮食粉、淀粉或乳的制品;糕饼点心,350,斯洛文尼亚,151.0
201502,19,第19章  谷物、粮食粉、淀粉或乳的制品;糕饼点心,410,巴西,207954.0
201502,19,第19章  谷物、粮食粉、淀粉或乳的制品;糕饼点心,429,墨西哥,530105.0
201502,19,第19章  谷物、粮食粉、淀粉或乳的制品;糕饼点心,501,加拿大,419561.0
201502,20,第20章  蔬菜、水果、坚果或植物其他部分的制品,108,塞浦路斯,464403.0
201502,20,第20章  蔬菜、水果、坚果或植物其他部分的制品,127,巴基斯坦,5274063.0
201502,20,第20章  蔬菜、水果、坚果或植物其他部分的制品,129,菲律宾,12244018.0
201502,20,第20章  蔬菜、水果、坚果或植物其他部分的制品,137,土耳其,1442511.0
201502,20,第20章  蔬菜、水果、坚果或植物其他部分的制品,138,阿联酋,31432.0
201502,20,第20章  蔬菜、水果、坚果或植物其他部分的制品,244,南非,878173.0
201502,20,第20章  蔬菜、水果、坚果或植物其他部分的制品,301,比利时,5529746.0
201502,20,第20章  蔬菜、水果、坚果或植物其他部分的制品,305,法国,2711164.0
201502,20,第20章  蔬菜、水果、坚果或植物其他部分的制品,306,爱尔兰,1840.0
201502,20,第20章  蔬菜、水果、坚果或植物其他部分的制品,307,意大利,6239387.0
201502,20,第20章  蔬菜、水果、坚果或植物其他部分的制品,309,荷兰,1235359.0
201502,20,第20章  蔬菜、水果、坚果或植物其他部分的制品,310,希腊,394621.0
201502,20,第20章  蔬菜、水果、坚果或植物其他部分的制品,312,西班牙,2943492.0
201502,20,第20章  蔬菜、水果、坚果或植物其他部分的制品,315,奥地利,172584.0
201502,20,第20章  蔬菜、水果、坚果或植物其他部分的制品,316,保加利亚,5255.0
201502,20,第20章  蔬菜、水果、坚果或植物其他部分的制品,321,匈牙利,38686.0
201502,20,第20章  蔬菜、水果、坚果或植物其他部分的制品,327,波兰,869353.0
201502,20,第20章  蔬菜、水果、坚果或植物其他部分的制品,410,巴西,43747109.0
201502,20,第20章  蔬菜、水果、坚果或植物其他部分的制品,429,墨西哥,270450.0
201502,20,第20章  蔬菜、水果、坚果或植物其他部分的制品,501,加拿大,10994379.0
201502,21,第21章  杂项食品,129,菲律宾,778135.0
201502,21,第21章  杂项食品,137,土耳其,1257378.0
201502,21,第21章  杂项食品,244,南非,838.0
201502,21,第21章  杂项食品,301,比利时,454570.0
201502,21,第21章  杂项食品,305,法国,20540248.0
201502,21,第21章  杂项食品,306,爱尔兰,763624.0
201502,21,第21章  杂项食品,307,意大利,3242259.0
201502,21,第21章  杂项食品,309,荷兰,30389608.0
201502,21,第21章  杂项食品,310,希腊,21503.0
201502,21,第21章  杂项食品,312,西班牙,8644798.0
201502,21,第21章  杂项食品,315,奥地利,178006.0
201502,21,第21章  杂项食品,316,保加利亚,765522.0
201502,21,第21章  杂项食品,318,芬兰,523490.0
201502,21,第21章  杂项食品,321,匈牙利,664359.0
201502,21,第21章  杂项食品,326,挪威,56003.0
201502,21,第21章  杂项食品,327,波兰,5482581.0
201502,21,第21章  杂项食品,410,巴西,5832954.0
201502,21,第21章  杂项食品,429,墨西哥,552692.0
201502,21,第21章  杂项食品,501,加拿大,16177746.0
201502,22,第22章  饮料、酒及醋,108,塞浦路斯,328429.0
201502,22,第22章  饮料、酒及醋,109,朝鲜,73162.0
201502,22,第22章  饮料、酒及醋,127,巴基斯坦,14310783.0
201502,22,第22章  饮料、酒及醋,129,菲律宾,681074.0
201502,22,第22章  饮料、酒及醋,137,土耳其,562930.0
201502,22,第22章  饮料、酒及醋,138,阿联酋,39056.0
201502,22,第22章  饮料、酒及醋,244,南非,13131256.0
201502,22,第22章  饮料、酒及醋,301,比利时,6077173.0
