数据年月,商品编码,商品名称,人民币
202212,1,第1章   活动物,666018173.0
202212,2,第2章   肉及食用杂碎,781943187.0
202212,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,8279771197.0
202212,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,404937958.0
202212,5,第5章   其他动物产品,1031513170.0
202212,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,444774486.0
202212,7,第7章   食用蔬菜、根及块茎,6944396165.0
202212,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,5063684208.0
202212,9,第9章   咖啡、茶、马黛茶及调味香料,2480332332.0
202212,10,第10章  谷物,660553905.0
202212,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,709637220.0
202212,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,2582378371.0
202212,13,第13章  虫胶；树胶、树脂及其他植物液、汁,1691497680.0
202212,14,第14章  编结用植物材料；其他植物产品,169495133.0
202212,15,动、植物或微生物油、脂及其分解产品；精制的食用油脂；动、植物蜡,1744823234.0
202212,16,第16章  肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物、昆虫的制品,6687255445.0
202212,17,第17章  糖及糖食,1584677608.0
202212,18,第18章  可可及可可制品,304608900.0
202212,19,第19章  谷物、粮食粉、淀粉或乳的制品；糕饼点心,1568048720.0
202212,20,第20章  蔬菜、水果、坚果或植物其他部分的制品,6907681001.0
202212,21,第21章  杂项食品,4169741052.0
202212,22,第22章  饮料、酒及醋,1354854148.0
202212,23,第23章  食品工业的残渣及废料；配制的动物饲料,2052759583.0
202212,24,第24章  烟草、烟草及烟草代用品的制品；非经燃烧吸用的产品，不论是否含有尼古丁；其他供人体摄入尼古丁的含尼古丁的产品,4976783747.0
202212,25,第25章  盐；硫磺；泥土及石料；石膏料、石灰及水泥,2693085475.0
202212,26,第26章  矿砂、矿渣及矿灰,1986419145.0
202212,27,第27章  矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,51982500241.0
202212,28,第28章  无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,23783987172.0
202212,29,第29章  有机化学品,49779295413.0
202212,30,第30章  药品,6997983815.0
202212,31,第31章  肥料,6750464910.0
202212,32,第32章  鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,5592469128.0
202212,33,第33章  精油及香膏；芳香料制品及化妆盥洗品,4138379113.0
202212,34,第34章  肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,3806682059.0
202212,35,第35章  蛋白类物质；改性淀粉；胶；酶,2747782596.0
202212,36,第36章  炸药；烟火制品；引火合金；易燃材料制品,578473058.0
202212,37,第37章  照相及电影用品,737129586.0
202212,38,第38章  杂项化学产品,21348706492.0
202212,39,第39章  塑料及其制品,79699691113.0
202212,40,第40章  橡胶及其制品,18280569739.0
202212,41,第41章  生皮（毛皮除外）及皮革,479283550.0
202212,42,第42章  皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,23868201918.0
202212,43,第43章  毛皮、人造毛皮及其制品,1488092160.0
202212,44,第44章  木及木制品；木炭,10043375947.0
202212,45,第45章  软木及软木制品,23428412.0
202212,46,第46章  稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品,1173478156.0
202212,47,第47章  木浆及其他纤维状纤维素浆；回收（废碎）纸及纸板,231287145.0
202212,48,第48章  纸及纸板；纸浆、纸或纸板制品,17995507205.0
202212,49,第49章  书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸,2292510809.0
202212,50,第50章  蚕丝,468935886.0
202212,51,第51章  羊毛、动物细毛或粗毛；马毛纱线及其机织物,1436691438.0
202212,52,第52章  棉花,6278855376.0
202212,53,第53章  其他植物纺织纤维；纸纱线及其机织物,1408097691.0
202212,54,第54章  化学纤维长丝；化学纤维纺织材料制扁条及类似品,16016609697.0
202212,55,第55章  化学纤维短纤,7381634922.0
202212,56,第56章  絮胎、毡呢及无纺织物；特种纱线；线、绳、索、缆及其制品,4390398730.0
202212,57,第57章  地毯及纺织材料的其他铺地制品,2172560011.0
202212,58,第58章  特种机织物；簇绒织物；花边；装饰毯；装饰带；刺绣品,3470387575.0
202212,59,第59章  浸渍、涂布、包覆或层压的纺织物；工业用纺织制品,5460297297.0
202212,60,第60章  针织物及钩编织物,11352456820.0
202212,61,第61章  针织或钩编的服装及衣着附件,49471952660.0
202212,62,第62章  非针织或非钩编的服装及衣着附件,43281878030.0
202212,63,第63章  其他纺织制成品；成套物品；旧衣着及旧纺织品；碎织物,18627749966.0
202212,64,第64章  鞋靴、护腿和类似品及其零件,38982717705.0
202212,65,第65章  帽类及其零件,3865977920.0
202212,66,第66章  雨伞、阳伞、手杖、鞭子、马鞭及其零件,2213947252.0
202212,67,第67章  已加工羽毛、羽绒及其制品；人造花；人发制品,6489054072.0
202212,68,第68章  石料、石膏、水泥、石棉、云母及类似材料的制品,11123359802.0
202212,69,第69章  陶瓷产品,20414929971.0
202212,70,第70章  玻璃及其制品,16665473281.0
202212,71,第71章  天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币,24560224850.0
202212,72,第72章  钢铁,37519162829.0
202212,73,第73章  钢铁制品,62592645186.0
202212,74,第74章  铜及其制品,4558964599.0
202212,75,第75章  镍及其制品,784326294.0
202212,76,第76章  铝及其制品,20408197806.0
202212,78,第78章  铅及其制品,286137565.0
202212,79,第79章  锌及其制品,107262494.0
202212,80,第80章  锡及其制品,166858243.0
202212,81,第81章  其他贱金属、金属陶瓷及其制品,3233176867.0
202212,82,第82章  贱金属工具、器具、利口器、餐匙、餐叉及其零件,14732155662.0
202212,83,第83章  贱金属杂项制品,17519290645.0
202212,84,第84章  核反应堆、锅炉、机器、机械器具及零件,306034394920.0
202212,85,第85章  电机、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件,574557771367.0
202212,86,第86章  铁道及电车道机车、车辆及其零件；铁道及电车道轨道固定装置及其零件；附件；各种机械（包括电动机械）交通信号设备,8437407733.0
202212,87,第87章  车辆及其零件、附件，但铁道及电车道车辆除外,91646654556.0
202212,88,第88章  航空器、航天器及其零件,4140895308.0
202212,89,第89章  船舶及浮动结构体,18120127303.0
202212,90,第90章  光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件,44562637949.0
202212,91,第91章  钟表及其零件,3045585993.0
202212,92,第92章  乐器及其零件、附件,1198593103.0
202212,93,第93章  武器、弹药及其零件、附件,132915233.0
202212,94,第94章  家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品；未列名灯具及照明装置；发光标志、发光铭牌及类似品；活动房屋,76710815940.0
202212,95,第95章  玩具、游戏品、运动用品及其零件、附件,52584034730.0
202212,96,第96章  杂项制品,16374465810.0
202212,97,第97章  艺术品、收藏品及古物,618365674.0
202212,98,第98章  特殊交易品及未分类商品,33361366078.0
202212,99,跨境电商B2B简化申报商品,5332336841.0
