数据年月,商品编码,商品名称,人民币
202505,1,第1章   活动物,252453595.0
202505,2,第2章   肉及食用杂碎,869053661.0
202505,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,6757852982.0
202505,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,532093385.0
202505,5,第5章   其他动物产品,1417670333.0
202505,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,358635606.0
202505,7,第7章   食用蔬菜、根及块茎,6550276908.0
202505,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,3465090454.0
202505,9,第9章   咖啡、茶、马黛茶及调味香料,2155945687.0
202505,10,第10章  谷物,633066097.0
202505,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,794200597.0
202505,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,2044792472.0
202505,13,第13章  虫胶；树胶、树脂及其他植物液、汁,1269976338.0
202505,14,第14章  编结用植物材料；其他植物产品,201409232.0
202505,15,动、植物或微生物油、脂及其分解产品；精制的食用油脂；动、植物蜡,2301442579.0
202505,16,第16章  肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物、昆虫的制品,6895041285.0
202505,17,第17章  糖及糖食,2012302306.0
202505,18,第18章  可可及可可制品,293698603.0
202505,19,第19章  谷物、粮食粉、淀粉或乳的制品；糕饼点心,1777167413.0
202505,20,第20章  蔬菜、水果、坚果或植物其他部分的制品,5002977653.0
202505,21,第21章  杂项食品,4442305326.0
202505,22,第22章  饮料、酒及醋,2090218009.0
202505,23,第23章  食品工业的残渣及废料；配制的动物饲料,2612606314.0
202505,24,第24章  烟草、烟草及烟草代用品的制品；非经燃烧吸用的产品，不论是否含有尼古丁；其他供人体摄入尼古丁的含尼古丁的产品,4408271440.0
202505,25,第25章  盐；硫磺；泥土及石料；石膏料、石灰及水泥,1965444083.0
202505,26,第26章  矿砂、矿渣及矿灰,2647805973.0
202505,27,第27章  矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,26009074867.0
202505,28,第28章  无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,15664325881.0
202505,29,第29章  有机化学品,50930028609.0
202505,30,第30章  药品,9367688981.0
202505,31,第31章  肥料,5000951562.0
202505,32,第32章  鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,5919110990.0
202505,33,第33章  精油及香膏；芳香料制品及化妆盥洗品,5074527197.0
202505,34,第34章  肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,5551147518.0
202505,35,第35章  蛋白类物质；改性淀粉；胶；酶,3213558547.0
202505,36,第36章  炸药；烟火制品；引火合金；易燃材料制品,750564551.0
202505,37,第37章  照相及电影用品,840358115.0
202505,38,第38章  杂项化学产品,19359726604.0
202505,39,第39章  塑料及其制品,89879491408.0
202505,40,第40章  橡胶及其制品,23526787024.0
202505,41,第41章  生皮（毛皮除外）及皮革,711319708.0
202505,42,第42章  皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,22895322531.0
202505,43,第43章  毛皮、人造毛皮及其制品,477787484.0
202505,44,第44章  木及木制品；木炭,10594694534.0
202505,45,第45章  软木及软木制品,32579578.0
202505,46,第46章  稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品,744293906.0
202505,47,第47章  木浆及其他纤维状纤维素浆；回收（废碎）纸及纸板,216881858.0
202505,48,第48章  纸及纸板；纸浆、纸或纸板制品,18344624743.0
202505,49,第49章  书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸,2464223627.0
202505,50,第50章  蚕丝,449950182.0
202505,51,第51章  羊毛、动物细毛或粗毛；马毛纱线及其机织物,1202175221.0
202505,52,第52章  棉花,6503581131.0
202505,53,第53章  其他植物纺织纤维；纸纱线及其机织物,550924948.0
202505,54,第54章  化学纤维长丝；化学纤维纺织材料制扁条及类似品,19576025103.0
202505,55,第55章  化学纤维短纤,9233708385.0
202505,56,第56章  絮胎、毡呢及无纺织物；特种纱线；线、绳、索、缆及其制品,5308480169.0
202505,57,第57章  地毯及纺织材料的其他铺地制品,2628509636.0
202505,58,第58章  特种机织物；簇绒织物；花边；装饰毯；装饰带；刺绣品,4096289603.0
202505,59,第59章  浸渍、涂布、包覆或层压的纺织物；工业用纺织制品,6377141061.0
202505,60,第60章  针织物及钩编织物,17220797803.0
202505,61,第61章  针织或钩编的服装及衣着附件,51892912354.0
202505,62,第62章  非针织或非钩编的服装及衣着附件,42501093920.0
202505,63,第63章  其他纺织制成品；成套物品；旧衣着及旧纺织品；碎织物,20131668165.0
202505,64,第64章  鞋靴、护腿和类似品及其零件,30501058003.0
202505,65,第65章  帽类及其零件,3514167003.0
202505,66,第66章  雨伞、阳伞、手杖、鞭子、马鞭及其零件,1995904580.0
202505,67,第67章  已加工羽毛、羽绒及其制品；人造花；人发制品,6063707137.0
202505,68,第68章  石料、石膏、水泥、石棉、云母及类似材料的制品,6942906853.0
202505,69,第69章  陶瓷产品,14902205566.0
202505,70,第70章  玻璃及其制品,15187338080.0
202505,71,第71章  天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币,22263425609.0
202505,72,第72章  钢铁,46112541374.0
202505,73,第73章  钢铁制品,69045234541.0
202505,74,第74章  铜及其制品,9286549510.0
202505,75,第75章  镍及其制品,2021172325.0
202505,76,第76章  铝及其制品,25143613115.0
202505,78,第78章  铅及其制品,137690468.0
202505,79,第79章  锌及其制品,120238444.0
202505,80,第80章  锡及其制品,518192346.0
202505,81,第81章  其他贱金属、金属陶瓷及其制品,3205454544.0
202505,82,第82章  贱金属工具、器具、利口器、餐匙、餐叉及其零件,15684335830.0
202505,83,第83章  贱金属杂项制品,17574421632.0
202505,84,第84章  核反应堆、锅炉、机器、机械器具及零件,365145831324.0
202505,85,第85章  电机、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件,577916394271.0
202505,86,第86章  铁道及电车道机车、车辆及其零件；铁道及电车道轨道固定装置及其零件；附件；各种机械（包括电动机械）交通信号设备,10448593982.0
202505,87,第87章  车辆及其零件、附件，但铁道及电车道车辆除外,153030951644.0
202505,88,第88章  航空器、航天器及其零件,4106588955.0
202505,89,第89章  船舶及浮动结构体,32432403193.0
202505,90,第90章  光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件,45171926220.0
202505,91,第91章  钟表及其零件,2949532962.0
202505,92,第92章  乐器及其零件、附件,1162068480.0
202505,93,第93章  武器、弹药及其零件、附件,110671795.0
202505,94,第94章  家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品；未列名灯具及照明装置；发光标志、发光铭牌及类似品；活动房屋,75615683332.0
202505,95,第95章  玩具、游戏品、运动用品及其零件、附件,51400798825.0
202505,96,第96章  杂项制品,18279283499.0
202505,97,第97章  艺术品、收藏品及古物,133366689.0
202505,98,第98章  特殊交易品及未分类商品,74586715623.0
202505,99,跨境电商B2B简化申报商品,1336750069.0
