商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
1,第1章 活动物,110,中国香港,230592170
1,第1章 活动物,112,印度尼西亚,122518
1,第1章 活动物,116,日本,1175981
1,第1章 活动物,122,马来西亚,94903
1,第1章 活动物,125,尼泊尔,643200
1,第1章 活动物,132,新加坡,101680
1,第1章 活动物,133,韩国,3648632
1,第1章 活动物,136,泰国,77471
1,第1章 活动物,141,越南,5369212
1,第1章 活动物,150,格鲁吉亚(2023年起),32279
1,第1章 活动物,303,英国,969
1,第1章 活动物,304,德国,511457
1,第1章 活动物,344,俄罗斯,78546
1,第1章 活动物,502,美国,9337070
2,第2章 肉及食用...,102,巴林,21157487
2,第2章 肉及食用...,110,中国香港,424811080
2,第2章 肉及食用...,112,印度尼西亚,510732
2,第2章 肉及食用...,116,日本,3935878
2,第2章 肉及食用...,119,老挝,1642164
2,第2章 肉及食用...,122,马来西亚,22412699
2,第2章 肉及食用...,141,越南,1661692
2,第2章 肉及食用...,145,哈萨克斯坦,1959120
2,第2章 肉及食用...,150,格鲁吉亚(2023年起),8811934
2,第2章 肉及食用...,202,安哥拉,524879
2,第2章 肉及食用...,223,科特迪瓦,337815
2,第2章 肉及食用...,304,德国,2541041
2,第2章 肉及食用...,344,俄罗斯,37658409
2,第2章 肉及食用...,502,美国,2572095
3,第3章 鱼、甲壳...,110,中国香港,656709538
3,第3章 鱼、甲壳...,111,印度,13645
3,第3章 鱼、甲壳...,112,印度尼西亚,94561737
3,第3章 鱼、甲壳...,113,伊朗,970138
3,第3章 鱼、甲壳...,116,日本,1051216746
3,第3章 鱼、甲壳...,119,老挝,1861354
3,第3章 鱼、甲壳...,120,黎巴嫩,822593
3,第3章 鱼、甲壳...,122,马来西亚,147612294
3,第3章 鱼、甲壳...,132,新加坡,40313866
3,第3章 鱼、甲壳...,133,韩国,691954244
3,第3章 鱼、甲壳...,136,泰国,162930407
3,第3章 鱼、甲壳...,141,越南,182431162
3,第3章 鱼、甲壳...,143,中国台湾,239095062
3,第3章 鱼、甲壳...,145,哈萨克斯坦,330147
3,第3章 鱼、甲壳...,150,格鲁吉亚(2023年起),1371229
3,第3章 鱼、甲壳...,152,阿塞拜疆(2023年起),751233
3,第3章 鱼、甲壳...,202,安哥拉,1301841
3,第3章 鱼、甲壳...,205,布隆迪,327384
3,第3章 鱼、甲壳...,206,喀麦隆,3184547
3,第3章 鱼、甲壳...,221,几内亚,690062
3,第3章 鱼、甲壳...,223,科特迪瓦,57426754
3,第3章 鱼、甲壳...,231,毛里求斯,5075241
3,第3章 鱼、甲壳...,237,留尼汪,796441
3,第3章 鱼、甲壳...,240,塞内加尔,15611206
3,第3章 鱼、甲壳...,243,索马里,538456
3,第3章 鱼、甲壳...,259,马约特,708310
3,第3章 鱼、甲壳...,303,英国,232437116
3,第3章 鱼、甲壳...,304,德国,435910651
3,第3章 鱼、甲壳...,324,马耳他,4454557
3,第3章 鱼、甲壳...,344,俄罗斯,85989777
3,第3章 鱼、甲壳...,351,克罗地亚,961668
3,第3章 鱼、甲壳...,358,塞尔维亚,482040
3,第3章 鱼、甲壳...,401,安提瓜和巴布达,571726
3,第3章 鱼、甲壳...,403,阿鲁巴,233882
3,第3章 鱼、甲壳...,421,格林纳达,573426
3,第3章 鱼、甲壳...,425,海地,3117212
3,第3章 鱼、甲壳...,428,马提尼克,742729
3,第3章 鱼、甲壳...,441,苏里南,2914487
3,第3章 鱼、甲壳...,502,美国,641418548
3,第3章 鱼、甲壳...,601,澳大利亚,54843999
3,第3章 鱼、甲壳...,607,新喀里多尼亚,517385
4,第4章 乳品；蛋...,110,中国香港,168116319
4,第4章 乳品；蛋...,111,印度,32172
4,第4章 乳品；蛋...,112,印度尼西亚,215892
4,第4章 乳品；蛋...,113,伊朗,210722
4,第4章 乳品；蛋...,116,日本,51908463
4,第4章 乳品；蛋...,120,黎巴嫩,124795
4,第4章 乳品；蛋...,122,马来西亚,4107730
4,第4章 乳品；蛋...,126,阿曼,850352
4,第4章 乳品；蛋...,132,新加坡,8048331
4,第4章 乳品；蛋...,133,韩国,4290975
4,第4章 乳品；蛋...,136,泰国,1652229
4,第4章 乳品；蛋...,139,也门,685118
4,第4章 乳品；蛋...,141,越南,339800
4,第4章 乳品；蛋...,249,突尼斯,108739
4,第4章 乳品；蛋...,303,英国,40126761
4,第4章 乳品；蛋...,304,德国,4091945
4,第4章 乳品；蛋...,502,美国,11698463
4,第4章 乳品；蛋...,601,澳大利亚,7668540
5,第5章 其他动物...,110,中国香港,14401550
5,第5章 其他动物...,111,印度,652329
5,第5章 其他动物...,112,印度尼西亚,11265591
5,第5章 其他动物...,116,日本,100906792
5,第5章 其他动物...,119,老挝,53800
5,第5章 其他动物...,122,马来西亚,1731276
5,第5章 其他动物...,125,尼泊尔,173770
5,第5章 其他动物...,132,新加坡,91187
5,第5章 其他动物...,133,韩国,19141201
5,第5章 其他动物...,136,泰国,34318572
5,第5章 其他动物...,141,越南,66320844
5,第5章 其他动物...,143,中国台湾,18773355
5,第5章 其他动物...,145,哈萨克斯坦,1291162
5,第5章 其他动物...,231,毛里求斯,72570
5,第5章 其他动物...,234,纳米比亚,451080
5,第5章 其他动物...,303,英国,11529210
5,第5章 其他动物...,304,德国,129313730
5,第5章 其他动物...,358,塞尔维亚,406218
5,第5章 其他动物...,440,萨尔瓦多,21807
5,第5章 其他动物...,502,美国,86886196
5,第5章 其他动物...,601,澳大利亚,769082
6,第6章 活树及其...,102,巴林,819157
6,第6章 活树及其...,110,中国香港,7775001
6,第6章 活树及其...,111,印度,6920753
6,第6章 活树及其...,112,印度尼西亚,962064
6,第6章 活树及其...,116,日本,55714423
6,第6章 活树及其...,119,老挝,493452
6,第6章 活树及其...,122,马来西亚,5256050
6,第6章 活树及其...,125,尼泊尔,53195
6,第6章 活树及其...,126,阿曼,115099
6,第6章 活树及其...,132,新加坡,7000233
6,第6章 活树及其...,133,韩国,38498525
6,第6章 活树及其...,136,泰国,13067086
6,第6章 活树及其...,141,越南,25448255
6,第6章 活树及其...,143,中国台湾,888496
6,第6章 活树及其...,145,哈萨克斯坦,383143
6,第6章 活树及其...,149,乌兹别克斯坦,148990
6,第6章 活树及其...,231,毛里求斯,52819
6,第6章 活树及其...,240,塞内加尔,1255
6,第6章 活树及其...,303,英国,1714144
6,第6章 活树及其...,304,德国,4182570
6,第6章 活树及其...,344,俄罗斯,2756084
6,第6章 活树及其...,351,克罗地亚,473
6,第6章 活树及其...,424,圭亚那,125903
6,第6章 活树及其...,502,美国,54996673
6,第6章 活树及其...,601,澳大利亚,8183425
7,第7章 食用蔬菜...,102,巴林,4748232
7,第7章 食用蔬菜...,110,中国香港,1535547135
7,第7章 食用蔬菜...,111,印度,64859903
7,第7章 食用蔬菜...,112,印度尼西亚,500186032
7,第7章 食用蔬菜...,116,日本,853381561
7,第7章 食用蔬菜...,119,老挝,1644789
7,第7章 食用蔬菜...,120,黎巴嫩,7610614
7,第7章 食用蔬菜...,122,马来西亚,501899928
7,第7章 食用蔬菜...,125,尼泊尔,3471657
7,第7章 食用蔬菜...,126,阿曼,8575589
7,第7章 食用蔬菜...,132,新加坡,63097016
7,第7章 食用蔬菜...,133,韩国,429505871
7,第7章 食用蔬菜...,135,叙利亚,713017
7,第7章 食用蔬菜...,136,泰国,335162672
7,第7章 食用蔬菜...,139,也门,615460
7,第7章 食用蔬菜...,141,越南,1075899019
7,第7章 食用蔬菜...,143,中国台湾,47165437
7,第7章 食用蔬菜...,145,哈萨克斯坦,4390885
7,第7章 食用蔬菜...,149,乌兹别克斯坦,1895269
7,第7章 食用蔬菜...,202,安哥拉,5386266
7,第7章 食用蔬菜...,218,加蓬,1796426
7,第7章 食用蔬菜...,221,几内亚,2280018
7,第7章 食用蔬菜...,223,科特迪瓦,8891154
7,第7章 食用蔬菜...,225,利比里亚,649677
7,第7章 食用蔬菜...,230,毛里塔尼亚,2230481
7,第7章 食用蔬菜...,231,毛里求斯,3946300
7,第7章 食用蔬菜...,237,留尼汪,2536879
7,第7章 食用蔬菜...,240,塞内加尔,35204799
7,第7章 食用蔬菜...,242,塞拉利昂,301221
7,第7章 食用蔬菜...,243,索马里,1292207
7,第7章 食用蔬菜...,249,突尼斯,2523411
7,第7章 食用蔬菜...,259,马约特,740033
7,第7章 食用蔬菜...,260,南苏丹,722936
7,第7章 食用蔬菜...,303,英国,86779350
7,第7章 食用蔬菜...,304,德国,82986916
7,第7章 食用蔬菜...,324,马耳他,18785
7,第7章 食用蔬菜...,344,俄罗斯,152684826
7,第7章 食用蔬菜...,351,克罗地亚,2866247
7,第7章 食用蔬菜...,358,塞尔维亚,43613
7,第7章 食用蔬菜...,403,阿鲁巴,1292
7,第7章 食用蔬菜...,424,圭亚那,4088352
7,第7章 食用蔬菜...,425,海地,5988395
7,第7章 食用蔬菜...,440,萨尔瓦多,3975277
7,第7章 食用蔬菜...,441,苏里南,2271992
7,第7章 食用蔬菜...,502,美国,418425135
7,第7章 食用蔬菜...,601,澳大利亚,62218650
7,第7章 食用蔬菜...,607,新喀里多尼亚,321933
8,第8章 食用水果...,102,巴林,1258105
8,第8章 食用水果...,110,中国香港,258028163
8,第8章 食用水果...,111,印度,51510371
8,第8章 食用水果...,112,印度尼西亚,274868680
8,第8章 食用水果...,113,伊朗,2065882
8,第8章 食用水果...,116,日本,124136768
8,第8章 食用水果...,119,老挝,139722
8,第8章 食用水果...,120,黎巴嫩,6259352
8,第8章 食用水果...,122,马来西亚,122438386
8,第8章 食用水果...,125,尼泊尔,72562722
8,第8章 食用水果...,126,阿曼,1086445
8,第8章 食用水果...,132,新加坡,51387942
8,第8章 食用水果...,133,韩国,20887173
8,第8章 食用水果...,136,泰国,462512267
8,第8章 食用水果...,141,越南,1056706794
8,第8章 食用水果...,143,中国台湾,19398817
8,第8章 食用水果...,145,哈萨克斯坦,2727399
8,第8章 食用水果...,148,土库曼斯坦,6891924
8,第8章 食用水果...,149,乌兹别克斯坦,18148542
8,第8章 食用水果...,150,格鲁吉亚(2023年起),5224069
8,第8章 食用水果...,151,亚美尼亚(2023年起),2491582
8,第8章 食用水果...,152,阿塞拜疆(2023年起),2277491
8,第8章 食用水果...,202,安哥拉,10680
8,第8章 食用水果...,231,毛里求斯,475570
8,第8章 食用水果...,237,留尼汪,152979
8,第8章 食用水果...,249,突尼斯,200957
8,第8章 食用水果...,303,英国,29764855
8,第8章 食用水果...,304,德国,101205476
8,第8章 食用水果...,344,俄罗斯,218032212
8,第8章 食用水果...,351,克罗地亚,4659302
8,第8章 食用水果...,358,塞尔维亚,1166362
8,第8章 食用水果...,502,美国,162677124
8,第8章 食用水果...,601,澳大利亚,23946417
9,第9章 咖啡、茶...,102,巴林,1552505
9,第9章 咖啡、茶...,110,中国香港,154432853
9,第9章 咖啡、茶...,111,印度,28936718
9,第9章 咖啡、茶...,112,印度尼西亚,21357705
9,第9章 咖啡、茶...,113,伊朗,14431583
9,第9章 咖啡、茶...,116,日本,109671522
9,第9章 咖啡、茶...,120,黎巴嫩,1063368
9,第9章 咖啡、茶...,122,马来西亚,134780885
9,第9章 咖啡、茶...,125,尼泊尔,2467481
9,第9章 咖啡、茶...,126,阿曼,3380082
9,第9章 咖啡、茶...,132,新加坡,13599075
9,第9章 咖啡、茶...,133,韩国,36721912
9,第9章 咖啡、茶...,135,叙利亚,338575
9,第9章 咖啡、茶...,136,泰国,40401190
9,第9章 咖啡、茶...,139,也门,648897
9,第9章 咖啡、茶...,141,越南,64360934
9,第9章 咖啡、茶...,143,中国台湾,16905783
9,第9章 咖啡、茶...,145,哈萨克斯坦,3104932
9,第9章 咖啡、茶...,148,土库曼斯坦,1291058
9,第9章 咖啡、茶...,149,乌兹别克斯坦,26557149
9,第9章 咖啡、茶...,150,格鲁吉亚(2023年起),671689
9,第9章 咖啡、茶...,151,亚美尼亚(2023年起),25106
9,第9章 咖啡、茶...,152,阿塞拜疆(2023年起),167532
9,第9章 咖啡、茶...,202,安哥拉,704131
9,第9章 咖啡、茶...,206,喀麦隆,49515498
9,第9章 咖啡、茶...,217,埃塞俄比亚,1552619
9,第9章 咖啡、茶...,221,几内亚,10288100
9,第9章 咖啡、茶...,223,科特迪瓦,2150608
9,第9章 咖啡、茶...,225,利比里亚,583784
9,第9章 咖啡、茶...,230,毛里塔尼亚,24496377
9,第9章 咖啡、茶...,231,毛里求斯,945501
9,第9章 咖啡、茶...,237,留尼汪,8034
9,第9章 咖啡、茶...,240,塞内加尔,35996148
9,第9章 咖啡、茶...,249,突尼斯,11708447
9,第9章 咖啡、茶...,303,英国,39531137
9,第9章 咖啡、茶...,304,德国,52122306
9,第9章 咖啡、茶...,344,俄罗斯,42454022
9,第9章 咖啡、茶...,358,塞尔维亚,232228
9,第9章 咖啡、茶...,502,美国,168184290
9,第9章 咖啡、茶...,601,澳大利亚,5575446
10,第10章 谷物,110,中国香港,8147237
10,第10章 谷物,112,印度尼西亚,442222
10,第10章 谷物,116,日本,9688846
10,第10章 谷物,122,马来西亚,52923
10,第10章 谷物,132,新加坡,64562
10,第10章 谷物,133,韩国,5772741
10,第10章 谷物,136,泰国,109311
10,第10章 谷物,141,越南,56421424
10,第10章 谷物,223,科特迪瓦,133159302
10,第10章 谷物,242,塞拉利昂,8608
10,第10章 谷物,303,英国,151616
10,第10章 谷物,304,德国,541945
10,第10章 谷物,344,俄罗斯,4359775
10,第10章 谷物,440,萨尔瓦多,18264809
10,第10章 谷物,502,美国,261143
10,第10章 谷物,601,澳大利亚,17777
10,第10章 谷物,618,基里巴斯,2604856
11,第11章 制粉工业...,110,中国香港,29257379
11,第11章 制粉工业...,111,印度,10069399
11,第11章 制粉工业...,112,印度尼西亚,3592932
11,第11章 制粉工业...,116,日本,27762967
11,第11章 制粉工业...,120,黎巴嫩,6770
11,第11章 制粉工业...,122,马来西亚,6224358
11,第11章 制粉工业...,125,尼泊尔,453755
11,第11章 制粉工业...,132,新加坡,5946415
11,第11章 制粉工业...,133,韩国,26424876
11,第11章 制粉工业...,136,泰国,74748308
11,第11章 制粉工业...,141,越南,25876270
11,第11章 制粉工业...,143,中国台湾,19070151
11,第11章 制粉工业...,145,哈萨克斯坦,25066
11,第11章 制粉工业...,150,格鲁吉亚(2023年起),76179
