商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,人民币
1,第1章 活动物,110,中国香港,256497489
1,第1章 活动物,112,印度尼西亚,122952
1,第1章 活动物,116,日本,1485858
1,第1章 活动物,122,马来西亚,140560
1,第1章 活动物,132,新加坡,85495
1,第1章 活动物,133,韩国,2095326
1,第1章 活动物,136,泰国,86095
1,第1章 活动物,141,越南,5242629
1,第1章 活动物,143,中国台湾,113767
1,第1章 活动物,145,哈萨克斯坦,1440
1,第1章 活动物,150,格鲁吉亚,32394
1,第1章 活动物,303,英国,1591
1,第1章 活动物,304,德国,601513
1,第1章 活动物,344,俄罗斯,133834
1,第1章 活动物,502,美国,8400172
2,第2章 肉及食用...,102,巴林,7774012
2,第2章 肉及食用...,110,中国香港,386854359
2,第2章 肉及食用...,112,印度尼西亚,334015
2,第2章 肉及食用...,116,日本,3274307
2,第2章 肉及食用...,119,老挝,2403264
2,第2章 肉及食用...,122,马来西亚,17315418
2,第2章 肉及食用...,136,泰国,136356
2,第2章 肉及食用...,141,越南,1048473
2,第2章 肉及食用...,145,哈萨克斯坦,2608458
2,第2章 肉及食用...,150,格鲁吉亚,9033472
2,第2章 肉及食用...,202,安哥拉,529512
2,第2章 肉及食用...,223,科特迪瓦,610081
2,第2章 肉及食用...,225,利比里亚,334119
2,第2章 肉及食用...,242,塞拉利昂,325767
2,第2章 肉及食用...,304,德国,1646575
2,第2章 肉及食用...,344,俄罗斯,28641743
2,第2章 肉及食用...,502,美国,835038
3,第3章 鱼、甲壳...,110,中国香港,574540396
3,第3章 鱼、甲壳...,112,印度尼西亚,109481889
3,第3章 鱼、甲壳...,113,伊朗,3254434
3,第3章 鱼、甲壳...,116,日本,1005188980
3,第3章 鱼、甲壳...,119,老挝,587150
3,第3章 鱼、甲壳...,120,黎巴嫩,598926
3,第3章 鱼、甲壳...,122,马来西亚,147827604
3,第3章 鱼、甲壳...,132,新加坡,43514313
3,第3章 鱼、甲壳...,133,韩国,613802848
3,第3章 鱼、甲壳...,136,泰国,185801674
3,第3章 鱼、甲壳...,141,越南,145204105
3,第3章 鱼、甲壳...,143,中国台湾,196998111
3,第3章 鱼、甲壳...,145,哈萨克斯坦,205880
3,第3章 鱼、甲壳...,152,阿塞拜疆,2383456
3,第3章 鱼、甲壳...,205,布隆迪,1071061
3,第3章 鱼、甲壳...,206,喀麦隆,2673526
3,第3章 鱼、甲壳...,212,科摩罗,150271
3,第3章 鱼、甲壳...,218,加蓬,1205168
3,第3章 鱼、甲壳...,223,科特迪瓦,65033129
3,第3章 鱼、甲壳...,231,毛里求斯,11536655
3,第3章 鱼、甲壳...,237,留尼汪,575888
3,第3章 鱼、甲壳...,240,塞内加尔,28426518
3,第3章 鱼、甲壳...,243,索马里,301351
3,第3章 鱼、甲壳...,259,马约特,299318
3,第3章 鱼、甲壳...,260,南苏丹,506240
3,第3章 鱼、甲壳...,303,英国,217926231
3,第3章 鱼、甲壳...,304,德国,275861198
3,第3章 鱼、甲壳...,324,马耳他,14733459
3,第3章 鱼、甲壳...,344,俄罗斯,88230753
3,第3章 鱼、甲壳...,358,塞尔维亚,544169
3,第3章 鱼、甲壳...,425,海地,5835969
3,第3章 鱼、甲壳...,441,苏里南,327542
3,第3章 鱼、甲壳...,502,美国,662835383
3,第3章 鱼、甲壳...,601,澳大利亚,72152132
4,第4章 乳品；蛋...,102,巴林,119014
