Commodity code,Commodity,Trading partner code,Trading partner,Renminbi Yuan
1,Live animals,118,Kuwait,30174.0
1,Live animals,127,Pakistan,671.0
1,Live animals,129,Philippines,25516.0
1,Live animals,138,United Arab Emirates,671.0
1,Live animals,301,Belgium,66798.0
1,Live animals,305,France,305.0
1,Live animals,307,Italy,254635.0
1,Live animals,315,Austria,671010.0
1,Live animals,501,Canada,336.0
2,Meat and edible meat offal,109,Democratic People's Republic of Korea,257248.0
2,Meat and edible meat offal,124,Mongolia,16429986.0
2,Meat and edible meat offal,127,Pakistan,365768.0
2,Meat and edible meat offal,138,United Arab Emirates,530625.0
2,Meat and edible meat offal,147,Tajikistan,3639558.0
2,Meat and edible meat offal,301,Belgium,2166862.0
2,Meat and edible meat offal,305,France,1653530.0
2,Meat and edible meat offal,339,Azerbai jan,220091.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",108,Cyprus,1632015.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",109,Democratic People's Republic of Korea,33048316.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",118,Kuwait,142221.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",123,Maldives,619812.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",129,Philippines,309713629.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",137,Türkiye,12985295.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",138,United Arab Emirates,12651216.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",203,Benin,4813938.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",209,Central African Republic,466758.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",213,Congo,300949.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",220,Ghana,15282517.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",224,Kenya,13541796.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",227,Madagascar,1313328.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",233,Mozambique,1386817.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",235,Niger,1305204.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",241,Seychelles,2490086.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",244,South Africa,27016197.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",252,Democratic Republic of Congo,7802180.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",301,Belgium,36488767.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",305,France,144100381.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",306,Ireland,6130140.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",307,Italy,73271546.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",309,Netherlands,91925368.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",310,Greece,17678371.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",312,Spain,178003053.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",313,Albania,896771.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",316,Bulgaria,4621211.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",321,Hungary,1304523.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",326,Norway,12246594.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",327,Poland,73132428.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",336,Lithuania,4542977.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",340,Belarus,1042436.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",350,Slovenia,1528377.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",359,Montenegro,623972.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",404,Bahamas,1087.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",405,Barbados,611467.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",410,Brazil,28053496.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",415,Costa Rica,9522418.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",427,Jamaica,2948713.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",429,Mexico,32893549.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",435,Puerto Rico,17102157.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",442,Trinidad and Tobago,8848840.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",444,Uruguay,282313.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",501,Canada,177824461.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",617,Samoa,407639.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",621,Marshall Islands,479013.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",699,Other Oceanian Territories,7282364.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",108,Cyprus,246549.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",109,Democratic People's Republic of Korea,3390722.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",118,Kuwait,734352.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",124,Mongolia,23157.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",129,Philippines,785082.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",137,Türkiye,969696.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",138,United Arab Emirates,345424.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",224,Kenya,6781.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",244,South Africa,3482945.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",301,Belgium,11254585.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",305,France,150608.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",306,Ireland,4134790.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",307,Italy,4207903.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",309,Netherlands,3130183.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",312,Spain,5882515.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",316,Bulgaria,503459.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",327,Poland,9394168.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",336,Lithuania,497363.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",404,Bahamas,119992.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",429,Mexico,806218.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",444,Uruguay,83876.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",501,Canada,6129665.0
5,"roducts of animal origin,not elsewhere specified or included",109,Democratic People's Republic of Korea,11835245.0
5,"roducts of animal origin,not elsewhere specified or included",129,Philippines,153924.0
5,"roducts of animal origin,not elsewhere specified or included",137,Türkiye,1638064.0
5,"roducts of animal origin,not elsewhere specified or included",138,United Arab Emirates,146630.0
5,"roducts of animal origin,not elsewhere specified or included",203,Benin,7148672.0
5,"roducts of animal origin,not elsewhere specified or included",244,South Africa,27925966.0
5,"roducts of animal origin,not elsewhere specified or included",301,Belgium,10132808.0
5,"roducts of animal origin,not elsewhere specified or included",305,France,10619228.0
5,"roducts of animal origin,not elsewhere specified or included",307,Italy,18451226.0
5,"roducts of animal origin,not elsewhere specified or included",309,Netherlands,68076181.0
5,"roducts of animal origin,not elsewhere specified or included",310,Greece,259959.0
5,"roducts of animal origin,not elsewhere specified or included",312,Spain,51341714.0
5,"roducts of animal origin,not elsewhere specified or included",315,Austria,8495875.0
5,"roducts of animal origin,not elsewhere specified or included",321,Hungary,7219530.0
5,"roducts of animal origin,not elsewhere specified or included",326,Norway,2304248.0
5,"roducts of animal origin,not elsewhere specified or included",327,Poland,26472580.0
5,"roducts of animal origin,not elsewhere specified or included",336,Lithuania,549173.0
5,"roducts of animal origin,not elsewhere specified or included",339,Azerbai jan,494134.0
5,"roducts of animal origin,not elsewhere specified or included",340,Belarus,123310.0
5,"roducts of animal origin,not elsewhere specified or included",350,Slovenia,3857488.0
5,"roducts of animal origin,not elsewhere specified or included",410,Brazil,16823980.0
5,"roducts of animal origin,not elsewhere specified or included",429,Mexico,1030132.0
5,"roducts of animal origin,not elsewhere specified or included",501,Canada,25462200.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",108,Cyprus,307517.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",109,Democratic People's Republic of Korea,1301866.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",118,Kuwait,236430.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",123,Maldives,26754.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",124,Mongolia,32500.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",129,Philippines,2723330.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",137,Türkiye,457620.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",138,United Arab Emirates,2750630.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",224,Kenya,103888.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",244,South Africa,954886.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",301,Belgium,351722.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",305,France,213844.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",307,Italy,2382632.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",309,Netherlands,39629823.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",312,Spain,2883627.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",327,Poland,57086.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",429,Mexico,36007.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",501,Canada,926561.0
7,Edible vegetables and certain roots and tubers,108,Cyprus,152548.0
7,Edible vegetables and certain roots and tubers,109,Democratic People's Republic of Korea,12273417.0
7,Edible vegetables and certain roots and tubers,118,Kuwait,3425723.0
7,Edible vegetables and certain roots and tubers,123,Maldives,765217.0
7,Edible vegetables and certain roots and tubers,124,Mongolia,6394782.0
7,Edible vegetables and certain roots and tubers,127,Pakistan,7454693.0
7,Edible vegetables and certain roots and tubers,129,Philippines,28167082.0
7,Edible vegetables and certain roots and tubers,137,Türkiye,4102340.0
7,Edible vegetables and certain roots and tubers,138,United Arab Emirates,40992729.0
7,Edible vegetables and certain roots and tubers,203,Benin,215797.0
7,Edible vegetables and certain roots and tubers,208,Cabo Verde,179635.0
7,Edible vegetables and certain roots and tubers,213,Congo,439017.0
7,Edible vegetables and certain roots and tubers,219,Gambia,951779.0
7,Edible vegetables and certain roots and tubers,220,Ghana,1462524.0
7,Edible vegetables and certain roots and tubers,224,Kenya,3731576.0
7,Edible vegetables and certain roots and tubers,233,Mozambique,1940898.0
7,Edible vegetables and certain roots and tubers,241,Seychelles,365916.0
7,Edible vegetables and certain roots and tubers,244,South Africa,9137083.0
7,Edible vegetables and certain roots and tubers,250,Uganda,930140.0
7,Edible vegetables and certain roots and tubers,252,Democratic Republic of Congo,3315542.0
7,Edible vegetables and certain roots and tubers,301,Belgium,28430415.0
7,Edible vegetables and certain roots and tubers,305,France,29867607.0
7,Edible vegetables and certain roots and tubers,307,Italy,38840168.0
7,Edible vegetables and certain roots and tubers,309,Netherlands,46436549.0
7,Edible vegetables and certain roots and tubers,310,Greece,6791837.0
7,Edible vegetables and certain roots and tubers,312,Spain,18346224.0
7,Edible vegetables and certain roots and tubers,313,Albania,269791.0
7,Edible vegetables and certain roots and tubers,315,Austria,351883.0
7,Edible vegetables and certain roots and tubers,316,Bulgaria,536897.0
7,Edible vegetables and certain roots and tubers,321,Hungary,90345.0
7,Edible vegetables and certain roots and tubers,326,Norway,2300480.0
7,Edible vegetables and certain roots and tubers,327,Poland,8422814.0
7,Edible vegetables and certain roots and tubers,336,Lithuania,958100.0
7,Edible vegetables and certain roots and tubers,340,Belarus,298264.0
7,Edible vegetables and certain roots and tubers,350,Slovenia,988085.0
7,Edible vegetables and certain roots and tubers,404,Bahamas,10316.0
7,Edible vegetables and certain roots and tubers,405,Barbados,121873.0
7,Edible vegetables and certain roots and tubers,410,Brazil,69077988.0
7,Edible vegetables and certain roots and tubers,415,Costa Rica,30073383.0
7,Edible vegetables and certain roots and tubers,427,Jamaica,920541.0
7,Edible vegetables and certain roots and tubers,429,Mexico,4673085.0
7,Edible vegetables and certain roots and tubers,431,Nicaragua,518785.0
7,Edible vegetables and certain roots and tubers,435,Puerto Rico,4143982.0
7,Edible vegetables and certain roots and tubers,442,Trinidad and Tobago,2696603.0
7,Edible vegetables and certain roots and tubers,444,Uruguay,524064.0
7,Edible vegetables and certain roots and tubers,501,Canada,52705868.0
7,Edible vegetables and certain roots and tubers,617,Samoa,153561.0
8,Edible fruit and nuts; peel of citrus fruit or melons,109,Democratic People's Republic of Korea,34821200.0
8,Edible fruit and nuts; peel of citrus fruit or melons,124,Mongolia,2056991.0
8,Edible fruit and nuts; peel of citrus fruit or melons,127,Pakistan,42534124.0
8,Edible fruit and nuts; peel of citrus fruit or melons,129,Philippines,82130178.0
8,Edible fruit and nuts; peel of citrus fruit or melons,137,Türkiye,2395244.0
8,Edible fruit and nuts; peel of citrus fruit or melons,138,United Arab Emirates,12347575.0
8,Edible fruit and nuts; peel of citrus fruit or melons,220,Ghana,13711.0
8,Edible fruit and nuts; peel of citrus fruit or melons,224,Kenya,2382.0
8,Edible fruit and nuts; peel of citrus fruit or melons,244,South Africa,309422.0
8,Edible fruit and nuts; peel of citrus fruit or melons,252,Democratic Republic of Congo,28935.0
8,Edible fruit and nuts; peel of citrus fruit or melons,301,Belgium,1255285.0
8,Edible fruit and nuts; peel of citrus fruit or melons,305,France,5976517.0
8,Edible fruit and nuts; peel of citrus fruit or melons,307,Italy,8334441.0
8,Edible fruit and nuts; peel of citrus fruit or melons,309,Netherlands,18740191.0
8,Edible fruit and nuts; peel of citrus fruit or melons,310,Greece,1519167.0
8,Edible fruit and nuts; peel of citrus fruit or melons,312,Spain,5169806.0
8,Edible fruit and nuts; peel of citrus fruit or melons,321,Hungary,191094.0
8,Edible fruit and nuts; peel of citrus fruit or melons,326,Norway,1268204.0
8,Edible fruit and nuts; peel of citrus fruit or melons,327,Poland,2194369.0
8,Edible fruit and nuts; peel of citrus fruit or melons,336,Lithuania,817961.0
8,Edible fruit and nuts; peel of citrus fruit or melons,404,Bahamas,7797.0
8,Edible fruit and nuts; peel of citrus fruit or melons,410,Brazil,1975165.0
8,Edible fruit and nuts; peel of citrus fruit or melons,415,Costa Rica,363704.0
8,Edible fruit and nuts; peel of citrus fruit or melons,429,Mexico,4717876.0
8,Edible fruit and nuts; peel of citrus fruit or melons,435,Puerto Rico,207094.0
8,Edible fruit and nuts; peel of citrus fruit or melons,444,Uruguay,12112.0
8,Edible fruit and nuts; peel of citrus fruit or melons,501,Canada,14655022.0
9,"Coffee, tea, maté and spices",108,Cyprus,129806.0
9,"Coffee, tea, maté and spices",109,Democratic People's Republic of Korea,4997642.0
9,"Coffee, tea, maté and spices",118,Kuwait,2042025.0
9,"Coffee, tea, maté and spices",123,Maldives,400619.0
9,"Coffee, tea, maté and spices",124,Mongolia,582085.0
9,"Coffee, tea, maté and spices",127,Pakistan,41927723.0
9,"Coffee, tea, maté and spices",129,Philippines,5318991.0
9,"Coffee, tea, maté and spices",137,Türkiye,4145306.0
9,"Coffee, tea, maté and spices",138,United Arab Emirates,34612245.0
9,"Coffee, tea, maté and spices",147,Tajikistan,2538363.0
9,"Coffee, tea, maté and spices",203,Benin,15524469.0
9,"Coffee, tea, maté and spices",211,Chad,469472.0
9,"Coffee, tea, maté and spices",219,Gambia,6900565.0
9,"Coffee, tea, maté and spices",220,Ghana,13705393.0
9,"Coffee, tea, maté and spices",224,Kenya,371418.0
9,"Coffee, tea, maté and spices",235,Niger,4540736.0
9,"Coffee, tea, maté and spices",241,Seychelles,128096.0
9,"Coffee, tea, maté and spices",244,South Africa,10113843.0
9,"Coffee, tea, maté and spices",252,Democratic Republic of Congo,42456.0
9,"Coffee, tea, maté and spices",301,Belgium,10365534.0
9,"Coffee, tea, maté and spices",305,France,13077088.0
9,"Coffee, tea, maté and spices",306,Ireland,25465.0
9,"Coffee, tea, maté and spices",307,Italy,7359854.0
9,"Coffee, tea, maté and spices",309,Netherlands,45561192.0
9,"Coffee, tea, maté and spices",310,Greece,1759771.0
9,"Coffee, tea, maté and spices",312,Spain,106861629.0
9,"Coffee, tea, maté and spices",313,Albania,125815.0
9,"Coffee, tea, maté and spices",315,Austria,424.0
9,"Coffee, tea, maté and spices",316,Bulgaria,1615798.0
9,"Coffee, tea, maté and spices",318,Finland,2072.0
9,"Coffee, tea, maté and spices",321,Hungary,2615524.0
9,"Coffee, tea, maté and spices",326,Norway,16426.0
9,"Coffee, tea, maté and spices",327,Poland,6932217.0
9,"Coffee, tea, maté and spices",336,Lithuania,125970.0
9,"Coffee, tea, maté and spices",340,Belarus,367312.0
9,"Coffee, tea, maté and spices",350,Slovenia,1921773.0
9,"Coffee, tea, maté and spices",404,Bahamas,33837.0
9,"Coffee, tea, maté and spices",410,Brazil,2190136.0
9,"Coffee, tea, maté and spices",415,Costa Rica,808353.0
9,"Coffee, tea, maté and spices",427,Jamaica,113683.0
9,"Coffee, tea, maté and spices",429,Mexico,39594199.0
9,"Coffee, tea, maté and spices",444,Uruguay,541489.0
9,"Coffee, tea, maté and spices",501,Canada,20323295.0
10,Cereals,109,Democratic People's Republic of Korea,25928985.0
10,Cereals,124,Mongolia,8459567.0
10,Cereals,127,Pakistan,89360385.0
10,Cereals,129,Philippines,261774.0
10,Cereals,137,Türkiye,131024554.0
10,Cereals,138,United Arab Emirates,1288.0
10,Cereals,203,Benin,58662615.0
10,Cereals,222,Guinea-Bissau,21127541.0
10,Cereals,224,Kenya,144983.0
10,Cereals,227,Madagascar,2888106.0
10,Cereals,233,Mozambique,2500000.0
10,Cereals,235,Niger,44620709.0
10,Cereals,244,South Africa,2150117.0
10,Cereals,250,Uganda,5000000.0
10,Cereals,252,Democratic Republic of Congo,26660568.0
10,Cereals,254,Zimbabwe,2500000.0
10,Cereals,255,Lesotho,6500000.0
10,Cereals,305,France,173668.0
10,Cereals,307,Italy,1143227.0
10,Cereals,309,Netherlands,1192885.0
10,Cereals,312,Spain,1090206.0
10,Cereals,316,Bulgaria,5636484.0
10,Cereals,340,Belarus,1651794.0
10,Cereals,359,Montenegro,121788.0
10,Cereals,404,Bahamas,5222.0
10,Cereals,410,Brazil,105349.0
10,Cereals,435,Puerto Rico,47318668.0
10,Cereals,501,Canada,2232479.0
10,Cereals,617,Samoa,320038.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,109,Democratic People's Republic of Korea,57484002.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,124,Mongolia,1639691.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,127,Pakistan,305388.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,129,Philippines,25718337.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,138,United Arab Emirates,196338.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,203,Benin,14896.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,224,Kenya,4384.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,227,Madagascar,45951.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,244,South Africa,512227.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,252,Democratic Republic of Congo,182851.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,254,Zimbabwe,739411.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,305,France,387656.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,307,Italy,69416.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,309,Netherlands,30456204.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,312,Spain,211871.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,321,Hungary,11575.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,326,Norway,34769.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,404,Bahamas,18881.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,410,Brazil,1248007.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,415,Costa Rica,173121.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,429,Mexico,1150716.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,444,Uruguay,188757.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,501,Canada,1936729.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",108,Cyprus,529202.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",109,Democratic People's Republic of Korea,3168679.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",118,Kuwait,5252872.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",127,Pakistan,17259013.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",129,Philippines,12125523.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",137,Türkiye,165324966.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",138,United Arab Emirates,40573485.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",224,Kenya,313777.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",244,South Africa,739187.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",250,Uganda,12078.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",252,Democratic Republic of Congo,10606.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",301,Belgium,2878821.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",305,France,13413131.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",306,Ireland,490374.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",307,Italy,14786115.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",309,Netherlands,97486116.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",310,Greece,3748234.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",312,Spain,47135661.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",313,Albania,172127.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",316,Bulgaria,2962391.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",318,Finland,1131667.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",321,Hungary,793631.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",326,Norway,536774.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",327,Poland,7910497.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",336,Lithuania,2166717.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",339,Azerbai jan,205383.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",340,Belarus,750130.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",350,Slovenia,7033547.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",359,Montenegro,714441.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",404,Bahamas,686.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",410,Brazil,2209555.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",415,Costa Rica,326346.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",429,Mexico,10803312.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",442,Trinidad and Tobago,177147.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",444,Uruguay,131941.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",501,Canada,28027745.0
13,"Lac; gums, resins and other vegetable saps and extracts",109,Democratic People's Republic of Korea,69114.0
13,"Lac; gums, resins and other vegetable saps and extracts",124,Mongolia,164263.0
13,"Lac; gums, resins and other vegetable saps and extracts",127,Pakistan,7032023.0
13,"Lac; gums, resins and other vegetable saps and extracts",129,Philippines,3703935.0
13,"Lac; gums, resins and other vegetable saps and extracts",137,Türkiye,9390588.0
13,"Lac; gums, resins and other vegetable saps and extracts",138,United Arab Emirates,1906369.0
13,"Lac; gums, resins and other vegetable saps and extracts",147,Tajikistan,291553.0
13,"Lac; gums, resins and other vegetable saps and extracts",224,Kenya,750513.0
13,"Lac; gums, resins and other vegetable saps and extracts",244,South Africa,1006856.0
13,"Lac; gums, resins and other vegetable saps and extracts",252,Democratic Republic of Congo,195011.0
13,"Lac; gums, resins and other vegetable saps and extracts",301,Belgium,6153625.0
13,"Lac; gums, resins and other vegetable saps and extracts",305,France,11749641.0
13,"Lac; gums, resins and other vegetable saps and extracts",306,Ireland,1544362.0
13,"Lac; gums, resins and other vegetable saps and extracts",307,Italy,22967796.0
13,"Lac; gums, resins and other vegetable saps and extracts",309,Netherlands,16955224.0
13,"Lac; gums, resins and other vegetable saps and extracts",310,Greece,466162.0
13,"Lac; gums, resins and other vegetable saps and extracts",312,Spain,29455652.0
13,"Lac; gums, resins and other vegetable saps and extracts",315,Austria,312128.0
13,"Lac; gums, resins and other vegetable saps and extracts",316,Bulgaria,445597.0
