商品编码,商品名称,美元
1,第1章 活动物,16976582
2,第2章 肉及食用...,2075912928
3,第3章 鱼、甲壳...,1642037436
4,第4章 乳品；蛋...,579153001
5,第5章 其他动物...,86887201
6,第6章 活树及其...,32677288
7,第7章 食用蔬菜...,195834287
8,第8章 食用水果...,1587379295
9,第9章 咖啡、茶...,135477363
10,第10章 谷物,1289491673
11,第11章 制粉工业...,206049144
12,第12章 含油子仁...,4740045238
13,第13章 虫胶；树...,33577815
14,第14章 编结用植...,10411455
15,动、植物或微生物油、...,1357028987
16,第16章 肉、鱼、...,51266396
17,第17章 糖及糖食,474410873
18,第18章 可可及可...,99001693
19,第19章 谷物、粮...,485896455
20,第20章 蔬菜、水...,162457106
21,第21章 杂项食品,514217635
22,第22章 饮料、酒...,508438156
23,第23章 食品工业...,575608733
24,第24章 烟草、烟...,160379042
25,第25章 盐；硫磺...,2101048622
26,第26章 矿砂、矿...,19581310906
27,第27章 矿物燃料...,43688542485
28,第28章 无机化学...,2145090111
29,第29章 有机化学...,4184830901
30,第30章 药品,3423720939
31,第31章 肥料,381172076
32,第32章 鞣料浸膏...,428020918
33,第33章 精油及香...,1503168545
34,第34章 肥皂、有...,483237075
35,第35章 蛋白类物...,363681101
36,第36章 炸药；烟...,9129917
37,第37章 照相及电...,304481338
38,第38章 杂项化学...,2045573174
39,第39章 塑料及其...,5344072396
40,第40章 橡胶及其...,1300546277
41,第41章 生皮（毛...,243020164
42,第42章 皮革制品...,481984629
43,第43章 毛皮、人...,92018918
44,第44章 木及木制...,1410959190
45,第45章 软木及软...,5133299
46,第46章 稻草、秸...,1329679
47,第47章 木浆及其...,1814435944
48,第48章 纸及纸板...,559994936
49,第49章 书籍、报...,150951870
50,第50章 蚕丝,7753555
51,第51章 羊毛、动...,171081298
52,第52章 棉花,1012514562
53,第53章 其他植物...,111650295
54,第54章 化学纤维...,190893929
55,第55章 化学纤维...,122710238
56,第56章 絮胎、毡...,91877877
57,第57章 地毯及纺...,7580957
58,第58章 特种机织...,23613137
59,第59章 浸渍、涂...,107903483
60,第60章 针织物及...,52914576
61,第61章 针织或钩...,335685508
62,第62章 非针织或...,490995570
63,第63章 其他纺织...,25597046
64,第64章 鞋靴、护...,497796463
65,第65章 帽类及其...,22199169
66,第66章 雨伞、阳...,787765
67,第67章 已加工羽...,101016443
68,第68章 石料、石...,153338032
69,第69章 陶瓷产品,118059746
70,第70章 玻璃及其...,533136991
71,第71章 天然或养...,9706364413
72,第72章 钢铁,3288294018
73,第73章 钢铁制品,765875626
74,第74章 铜及其制...,5423548611
75,第75章 镍及其制...,786851763
76,第76章 铝及其制...,1196170525
78,第78章 铅及其制...,9284459
79,第79章 锌及其制...,153305488
80,第80章 锡及其制...,88025579
81,第81章 其他贱金...,334389163
82,第82章 贱金属工...,208280740
83,第83章 贱金属杂...,132562484
84,第84章 核反应堆...,19100414907
85,第85章 电机、电...,51120718214
86,第86章 铁道及电...,44252488
87,第87章 车辆及其...,6193616763
88,第88章 航空器、...,597640582
89,第89章 船舶及浮...,73220977
90,第90章 光学、照...,6830282118
91,第91章 钟表及其...,435330774
92,第92章 乐器及其...,43455867
93,第93章 武器、弹...,1115440
94,第94章 家具；寝...,206187554
95,第95章 玩具、游...,207094668
96,第96章 杂项制品,128811715
97,第97章 艺术品、...,180608759
98,第98章 特殊交易...,844425469
