商品编码,商品名称,美元
1,第1章 活动物,21645702
2,第2章 肉及食用...,2645565280
3,第3章 鱼、甲壳...,1467857007
4,第4章 乳品；蛋...,702065151
5,第5章 其他动物...,106676663
6,第6章 活树及其...,18058093
7,第7章 食用蔬菜...,133170919
8,第8章 食用水果...,1574394103
9,第9章 咖啡、茶...,160457296
10,第10章 谷物,1293028374
11,第11章 制粉工业...,116025200
12,第12章 含油子仁...,5911420165
13,第13章 虫胶；树...,36877746
14,第14章 编结用植...,14124693
15,动、植物或微生物油、...,1067153019
16,第16章 肉、鱼、...,60241261
17,第17章 糖及糖食,220096615
18,第18章 可可及可...,68658962
19,第19章 谷物、粮...,400247177
20,第20章 蔬菜、水...,164185368
21,第21章 杂项食品,465501796
22,第22章 饮料、酒...,578097906
23,第23章 食品工业...,525664508
24,第24章 烟草、烟...,192564764
25,第25章 盐；硫磺...,2107142574
26,第26章 矿砂、矿...,17996152711
27,第27章 矿物燃料...,37895906019
28,第28章 无机化学...,2008715783
29,第29章 有机化学...,3471971762
30,第30章 药品,3497743575
31,第31章 肥料,430015179
32,第32章 鞣料浸膏...,397769986
33,第33章 精油及香...,1316034084
34,第34章 肥皂、有...,462879703
35,第35章 蛋白类物...,332199599
36,第36章 炸药；烟...,10209851
37,第37章 照相及电...,266880500
38,第38章 杂项化学...,1997320139
39,第39章 塑料及其...,4956336659
40,第40章 橡胶及其...,1337695075
41,第41章 生皮（毛...,236869385
42,第42章 皮革制品...,510916747
43,第43章 毛皮、人...,92767493
44,第44章 木及木制...,1386196836
45,第45章 软木及软...,3073372
46,第46章 稻草、秸...,1894940
47,第47章 木浆及其...,1537854056
48,第48章 纸及纸板...,603070337
49,第49章 书籍、报...,155796605
50,第50章 蚕丝,4477367
51,第51章 羊毛、动...,277331378
52,第52章 棉花,687671125
53,第53章 其他植物...,115027308
54,第54章 化学纤维...,174110787
55,第55章 化学纤维...,120036729
56,第56章 絮胎、毡...,97066807
57,第57章 地毯及纺...,8702021
58,第58章 特种机织...,23866555
59,第59章 浸渍、涂...,112254917
60,第60章 针织物及...,56861244
61,第61章 针织或钩...,324475421
62,第62章 非针织或...,457923475
63,第63章 其他纺织...,27555745
64,第64章 鞋靴、护...,492496046
65,第65章 帽类及其...,21279058
66,第66章 雨伞、阳...,1138064
67,第67章 已加工羽...,96981282
68,第68章 石料、石...,140868766
69,第69章 陶瓷产品,118490389
70,第70章 玻璃及其...,556771798
71,第71章 天然或养...,8394383974
72,第72章 钢铁,2911345544
73,第73章 钢铁制品,738888069
74,第74章 铜及其制...,4987006261
75,第75章 镍及其制...,860374916
76,第76章 铝及其制...,965208606
78,第78章 铅及其制...,10393820
79,第79章 锌及其制...,207888349
80,第80章 锡及其制...,69966494
81,第81章 其他贱金...,242385152
82,第82章 贱金属工...,221940005
83,第83章 贱金属杂...,151099658
84,第84章 核反应堆...,17540231723
85,第85章 电机、电...,43815173408
86,第86章 铁道及电...,47287706
87,第87章 车辆及其...,5722108168
88,第88章 航空器、...,1021762332
89,第89章 船舶及浮...,23734896
90,第90章 光学、照...,6641941545
91,第91章 钟表及其...,405310114
92,第92章 乐器及其...,42362443
93,第93章 武器、弹...,507144
94,第94章 家具；寝...,189851270
95,第95章 玩具、游...,206528915
96,第96章 杂项制品,116786932
97,第97章 艺术品、...,104707303
98,第98章 特殊交易...,896879835
