商品编码,商品名称,美元
1,第1章 活动物,19522228
2,第2章 肉及食用...,1947912463
3,第3章 鱼、甲壳...,1350310973
4,第4章 乳品；蛋...,618316425
5,第5章 其他动物...,117558029
6,第6章 活树及其...,19531012
7,第7章 食用蔬菜...,204074999
8,第8章 食用水果...,1166511108
9,第9章 咖啡、茶...,257388363
10,第10章 谷物,1807393020
11,第11章 制粉工业...,252212610
12,第12章 含油子仁...,3793873437
13,第13章 虫胶；树...,36085481
14,第14章 编结用植...,18265259
15,动、植物或微生物油、...,983864544
16,第16章 肉、鱼、...,34958575
17,第17章 糖及糖食,138302868
18,第18章 可可及可...,66101422
19,第19章 谷物、粮...,399257881
20,第20章 蔬菜、水...,184083680
21,第21章 杂项食品,620927171
22,第22章 饮料、酒...,361073240
23,第23章 食品工业...,692335674
24,第24章 烟草、烟...,278813542
25,第25章 盐；硫磺...,959028080
26,第26章 矿砂、矿...,21040831161
27,第27章 矿物燃料...,44354957937
28,第28章 无机化学...,1584576362
29,第29章 有机化学...,3708977608
30,第30章 药品,3881478861
31,第31章 肥料,437442979
32,第32章 鞣料浸膏...,449174278
33,第33章 精油及香...,1665169057
34,第34章 肥皂、有...,465990895
35,第35章 蛋白类物...,348694612
36,第36章 炸药；烟...,12052404
37,第37章 照相及电...,324500077
38,第38章 杂项化学...,2212434074
39,第39章 塑料及其...,5317599241
40,第40章 橡胶及其...,1456701539
41,第41章 生皮（毛...,282040890
42,第42章 皮革制品...,549013776
43,第43章 毛皮、人...,28094190
44,第44章 木及木制...,1688596847
45,第45章 软木及软...,2621027
46,第46章 稻草、秸...,3350870
47,第47章 木浆及其...,2029482387
48,第48章 纸及纸板...,626948777
49,第49章 书籍、报...,171026498
50,第50章 蚕丝,6999079
51,第51章 羊毛、动...,239086619
52,第52章 棉花,1312069535
53,第53章 其他植物...,98898415
54,第54章 化学纤维...,199899727
55,第55章 化学纤维...,143236220
56,第56章 絮胎、毡...,98416265
57,第57章 地毯及纺...,7371075
58,第58章 特种机织...,25354615
59,第59章 浸渍、涂...,115287071
60,第60章 针织物及...,57830619
61,第61章 针织或钩...,302674871
62,第62章 非针织或...,391561597
63,第63章 其他纺织...,29131483
64,第64章 鞋靴、护...,502328054
65,第65章 帽类及其...,18560035
66,第66章 雨伞、阳...,651348
67,第67章 已加工羽...,141754243
68,第68章 石料、石...,150009948
69,第69章 陶瓷产品,111704877
70,第70章 玻璃及其...,579204872
71,第71章 天然或养...,14900823642
72,第72章 钢铁,2535263072
73,第73章 钢铁制品,777233293
74,第74章 铜及其制...,5987579283
75,第75章 镍及其制...,762703881
76,第76章 铝及其制...,1441242777
78,第78章 铅及其制...,8494807
79,第79章 锌及其制...,134933467
80,第80章 锡及其制...,33631136
81,第81章 其他贱金...,380573899
82,第82章 贱金属工...,220634899
83,第83章 贱金属杂...,136248961
84,第84章 核反应堆...,18492382130
85,第85章 电机、电...,47555975009
86,第86章 铁道及电...,72332026
87,第87章 车辆及其...,4698582196
88,第88章 航空器、...,1042083812
89,第89章 船舶及浮...,14854340
90,第90章 光学、照...,6654887552
91,第91章 钟表及其...,352481868
92,第92章 乐器及其...,38254563
93,第93章 武器、弹...,534287
94,第94章 家具；寝...,184416374
95,第95章 玩具、游...,195364699
96,第96章 杂项制品,105211369
97,第97章 艺术品、...,18422880
98,第98章 特殊交易...,774190787
