数据年月,商品编码,商品名称,人民币
201904,1,第1章   活动物,250029252.0
201904,2,第2章   肉及食用杂碎,9185259330.0
201904,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,8739761705.0
201904,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,3336969458.0
201904,5,第5章   其他动物产品,570047702.0
201904,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,174023768.0
201904,7,第7章   食用蔬菜、根及块茎,1371974864.0
201904,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,8523022987.0
201904,9,第9章   咖啡、茶、马黛茶及调味香料,654353879.0
201904,10,第10章  谷物,3428940852.0
201904,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,1039248233.0
201904,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,24055686566.0
201904,13,第13章  虫胶；树胶、树脂及其他植物液、汁,254080092.0
201904,14,第14章  编结用植物材料；其他植物产品,109839583.0
201904,15,第15章  动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡,4460518554.0
201904,16,第16章  肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物的制品,220134399.0
201904,17,第17章  糖及糖食,1100296633.0
201904,18,第18章  可可及可可制品,396728785.0
201904,19,第19章  谷物、粮食粉、淀粉或乳的制品；糕饼点心,4310944743.0
201904,20,第20章  蔬菜、水果、坚果或植物其他部分的制品,733228202.0
201904,21,第21章  杂项食品,2062689194.0
201904,22,第22章  饮料、酒及醋,3265096825.0
201904,23,第23章  食品工业的残渣及废料；配制的动物饲料,2517866756.0
201904,24,第24章  烟草、烟草及烟草代用品的制品,1819750053.0
201904,25,第25章  盐；硫磺；泥土及石料；石膏料、石灰及水泥,4530503156.0
201904,26,第26章  矿砂、矿渣及矿灰,83776266507.0
201904,27,第27章  矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,209734453523.0
201904,28,第28章  无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,5464291807.0
201904,29,第29章  有机化学品,37220375934.0
201904,30,第30章  药品,20628607221.0
201904,31,第31章  肥料,2567691703.0
201904,32,第32章  鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,2916027843.0
201904,33,第33章  精油及香膏；芳香料制品及化妆盥洗品,9852366699.0
201904,34,第34章  肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,2704610757.0
201904,35,第35章  蛋白类物质；改性淀粉；胶；酶,2129786186.0
201904,36,第36章  炸药；烟火制品；引火合金；易燃材料制品,49158868.0
201904,37,第37章  照相及电影用品,1605836407.0
201904,38,第38章  杂项化学产品,10171539957.0
201904,39,第39章  塑料及其制品,42621781953.0
201904,40,第40章  橡胶及其制品,8976852602.0
201904,41,第41章  生皮（毛皮除外）及皮革,2504314521.0
