数据年月,商品编码,商品名称,人民币
201602,1,第1章   活动物,67073885.0
201602,2,第2章   肉及食用杂碎,3438059526.0
201602,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,2786130626.0
201602,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,1647888016.0
201602,5,第5章   其他动物产品,213522333.0
201602,6,第6章   活树及其他活植物;鳞茎、根及类似品;插花及装饰用簇叶,55814547.0
201602,7,第7章   食用蔬菜、根及块茎,995244296.0
201602,8,第8章   食用水果及坚果;甜瓜或柑橘属水果的果皮,2661305541.0
201602,9,第9章   咖啡、茶、马黛茶及调味香料,202089971.0
201602,10,第10章  谷物,2062655163.0
201602,11,第11章  制粉工业产品;麦芽;淀粉;菊粉;面筋,338548892.0
201602,12,第12章  含油子仁及果实;杂项子仁及果仁;工业用或药用植物;稻草、秸秆及饲料,13482237370.0
201602,13,第13章  虫胶;树胶、树脂及其他植物液、汁,70696416.0
201602,14,第14章  编结用植物材料;其他植物产品,92369729.0
201602,15,第15章  动、植物油、脂及其分解产品;精制的食用油脂;动、植物蜡,2823949485.0
201602,16,第16章  肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物的制品,63469882.0
201602,17,第17章  糖及糖食,356346025.0
201602,18,第18章  可可及可可制品,215522932.0
201602,19,第19章  谷物、粮食粉、淀粉或乳的制品;糕饼点心,1436577866.0
201602,20,第20章  蔬菜、水果、坚果或植物其他部分的制品,269773666.0
201602,21,第21章  杂项食品,713194783.0
201602,22,第22章  饮料、酒及醋,1541052915.0
201602,23,第23章  食品工业的残渣及废料;配制的动物饲料,715311181.0
201602,24,第24章  烟草、烟草及烟草代用品的制品,584187613.0
201602,25,第25章  盐;硫磺;泥土及石料;石膏料、石灰及水泥,2471478410.0
201602,26,第26章  矿砂、矿渣及矿灰,38550049310.0
201602,27,第27章  矿物燃料、矿物油及其蒸馏产品;沥青物质;矿物蜡,77103360389.0
201602,28,第28章  无机化学品;贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,3176019066.0
201602,29,第29章  有机化学品,17996648635.0
201602,30,第30章  药品,7176704442.0
201602,31,第31章  肥料,1378759306.0
201602,32,第32章  鞣料浸膏及染料浸膏;鞣酸及其衍生物;染料、颜料及其他着色料;油漆及清漆;油灰及其他类似胶粘剂;墨水、油墨,1604815006.0
201602,33,第33章  精油及香膏;芳香料制品及化妆盥洗品,2036393603.0
201602,34,第34章  肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,1458484246.0
201602,35,第35章  蛋白类物质;改性淀粉;胶;酶,1232760840.0
201602,36,第36章  炸药;烟火制品;引火合金;易燃材料制品,94453638.0
201602,37,第37章  照相及电影用品,979204132.0
201602,38,第38章  杂项化学产品,5756562173.0
201602,39,第39章  塑料及其制品,23714142807.0
201602,40,第40章  橡胶及其制品,4673315475.0
201602,41,第41章  生皮（毛皮除外）及皮革,2231013578.0
201602,42,第42章  皮革制品;鞍具及挽具;旅行用品、手提包及类似容器;动物肠线（蚕胶丝除外）制品,967685991.0
201602,43,第43章  毛皮、人造毛皮及其制品,102308905.0
201602,44,第44章  木及木制品;木炭,7001541161.0
201602,45,第45章  软木及软木制品,18748543.0
201602,46,第46章  稻草、秸秆、针茅或其他编结材料制品;篮筐及柳条编结品,4029028.0
