数据年月,商品编码,商品名称,人民币
202309,1,第1章   活动物,122011481.0
202309,2,第2章   肉及食用杂碎,14922287254.0
202309,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,11809493114.0
202309,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,4163178859.0
202309,5,第5章   其他动物产品,624841677.0
202309,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,234982687.0
202309,7,第7章   食用蔬菜、根及块茎,1406519263.0
202309,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,11403731236.0
202309,9,第9章   咖啡、茶、马黛茶及调味香料,974555793.0
202309,10,第10章  谷物,9230436733.0
202309,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,1481297313.0
202309,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,33764111677.0
202309,13,第13章  虫胶；树胶、树脂及其他植物液、汁,240647239.0
202309,14,第14章  编结用植物材料；其他植物产品,74924691.0
202309,15,动、植物或微生物油、脂及其分解产品；精制的食用油脂；动、植物蜡,9742011731.0
202309,16,第16章  肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物、昆虫的制品,367616594.0
202309,17,第17章  糖及糖食,3412494356.0
202309,18,第18章  可可及可可制品,711917344.0
202309,19,第19章  谷物、粮食粉、淀粉或乳的制品；糕饼点心,3494562666.0
202309,20,第20章  蔬菜、水果、坚果或植物其他部分的制品,1168414580.0
202309,21,第21章  杂项食品,3692223743.0
202309,22,第22章  饮料、酒及醋,3653471792.0
202309,23,第23章  食品工业的残渣及废料；配制的动物饲料,4141293744.0
202309,24,第24章  烟草、烟草及烟草代用品的制品；非经燃烧吸用的产品，不论是否含有尼古丁；其他供人体摄入尼古丁的含尼古丁的产品,1154081192.0
202309,25,第25章  盐；硫磺；泥土及石料；石膏料、石灰及水泥,14610881485.0
202309,26,第26章  矿砂、矿渣及矿灰,142526928686.0
202309,27,第27章  矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,316368948967.0
202309,28,第28章  无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,15467726031.0
202309,29,第29章  有机化学品,30184597033.0
202309,30,第30章  药品,24579345036.0
202309,31,第31章  肥料,2741063578.0
202309,32,第32章  鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,3073003673.0
202309,33,第33章  精油及香膏；芳香料制品及化妆盥洗品,10807975718.0
202309,34,第34章  肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,3475549235.0
202309,35,第35章  蛋白类物质；改性淀粉；胶；酶,2614895586.0
202309,36,第36章  炸药；烟火制品；引火合金；易燃材料制品,65650910.0
202309,37,第37章  照相及电影用品,2189368858.0
202309,38,第38章  杂项化学产品,14723777871.0
202309,39,第39章  塑料及其制品,38421059474.0
202309,40,第40章  橡胶及其制品,9353056972.0
202309,41,第41章  生皮（毛皮除外）及皮革,1748429337.0
202309,42,第42章  皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,3454603352.0
202309,43,第43章  毛皮、人造毛皮及其制品,661852502.0
202309,44,第44章  木及木制品；木炭,10139971386.0
202309,45,第45章  软木及软木制品,36862400.0
202309,46,第46章  稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品,9558101.0
202309,47,第47章  木浆及其他纤维状纤维素浆；回收（废碎）纸及纸板,13031173662.0
202309,48,第48章  纸及纸板；纸浆、纸或纸板制品,4024587454.0
202309,49,第49章  书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸,1085614382.0
202309,50,第50章  蚕丝,55779646.0
202309,51,第51章  羊毛、动物细毛或粗毛；马毛纱线及其机织物,1228376854.0
202309,52,第52章  棉花,7279762261.0
202309,53,第53章  其他植物纺织纤维；纸纱线及其机织物,802186950.0
202309,54,第54章  化学纤维长丝；化学纤维纺织材料制扁条及类似品,1373614745.0
202309,55,第55章  化学纤维短纤,882013075.0
202309,56,第56章  絮胎、毡呢及无纺织物；特种纱线；线、绳、索、缆及其制品,660864642.0
202309,57,第57章  地毯及纺织材料的其他铺地制品,54480779.0
202309,58,第58章  特种机织物；簇绒织物；花边；装饰毯；装饰带；刺绣品,169835266.0
202309,59,第59章  浸渍、涂布、包覆或层压的纺织物；工业用纺织制品,776240145.0
202309,60,第60章  针织物及钩编织物,380854415.0
202309,61,第61章  针织或钩编的服装及衣着附件,2406274826.0
202309,62,第62章  非针织或非钩编的服装及衣着附件,3519831537.0
202309,63,第63章  其他纺织制成品；成套物品；旧衣着及旧纺织品；碎织物,184108791.0
202309,64,第64章  鞋靴、护腿和类似品及其零件,3565718565.0
202309,65,第65章  帽类及其零件,158701602.0
202309,66,第66章  雨伞、阳伞、手杖、鞭子、马鞭及其零件,5648361.0
202309,67,第67章  已加工羽毛、羽绒及其制品；人造花；人发制品,726568522.0
202309,68,第68章  石料、石膏、水泥、石棉、云母及类似材料的制品,1086888568.0
202309,69,第69章  陶瓷产品,849315951.0
202309,70,第70章  玻璃及其制品,3839662101.0
202309,71,第71章  天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币,69257940180.0
202309,72,第72章  钢铁,23579154551.0
202309,73,第73章  钢铁制品,5510580785.0
202309,74,第74章  铜及其制品,38746199534.0
202309,75,第75章  镍及其制品,5477829479.0
202309,76,第76章  铝及其制品,8597944424.0
202309,78,第78章  铅及其制品,66799584.0
202309,79,第79章  锌及其制品,1092846430.0
202309,80,第80章  锡及其制品,631351664.0
202309,81,第81章  其他贱金属、金属陶瓷及其制品,2379246178.0
202309,82,第82章  贱金属工具、器具、利口器、餐匙、餐叉及其零件,1498913292.0
202309,83,第83章  贱金属杂项制品,952698695.0
202309,84,第84章  核反应堆、锅炉、机器、机械器具及零件,136915708209.0
202309,85,第85章  电机、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件,366786107108.0
202309,86,第86章  铁道及电车道机车、车辆及其零件；铁道及电车道轨道固定装置及其零件；附件；各种机械（包括电动机械）交通信号设备,325859209.0
202309,87,第87章  车辆及其零件、附件，但铁道及电车道车辆除外,44442580301.0
202309,88,第88章  航空器、航天器及其零件,3617126072.0
202309,89,第89章  船舶及浮动结构体,526856589.0
202309,90,第90章  光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件,48974607594.0
202309,91,第91章  钟表及其零件,3126623317.0
202309,92,第92章  乐器及其零件、附件,312681522.0
202309,93,第93章  武器、弹药及其零件、附件,8013773.0
202309,94,第94章  家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品；未列名灯具及照明装置；发光标志、发光铭牌及类似品；活动房屋,1482040829.0
202309,95,第95章  玩具、游戏品、运动用品及其零件、附件,1487752558.0
202309,96,第96章  杂项制品,924402860.0
202309,97,第97章  艺术品、收藏品及古物,1112890810.0
202309,98,第98章  特殊交易品及未分类商品,6072840027.0
