Commodity code,Commodity,Trading partner code,Trading partner,Renminbi Yuan
1,Live animals,124,Mongolia,1721069.0
1,Live animals,305,France,1837778.0
1,Live animals,309,Netherlands,20237746.0
1,Live animals,312,Spain,25588128.0
2,Meat and edible meat offal,124,Mongolia,16290000.0
2,Meat and edible meat offal,227,Madagascar,1109128.0
2,Meat and edible meat offal,244,South Africa,25632101.0
2,Meat and edible meat offal,301,Belgium,19442440.0
2,Meat and edible meat offal,305,France,182455751.0
2,Meat and edible meat offal,306,Ireland,61440709.0
2,Meat and edible meat offal,309,Netherlands,303551493.0
2,Meat and edible meat offal,312,Spain,737114886.0
2,Meat and edible meat offal,315,Austria,6029628.0
2,Meat and edible meat offal,318,Finland,11756223.0
2,Meat and edible meat offal,340,Belarus,91224826.0
2,Meat and edible meat offal,408,Bolivia,279353465.0
2,Meat and edible meat offal,410,Brazil,5567141813.0
2,Meat and edible meat offal,415,Costa Rica,35273464.0
2,Meat and edible meat offal,431,Nicaragua,1807099.0
2,Meat and edible meat offal,444,Uruguay,651827930.0
2,Meat and edible meat offal,501,Canada,226828728.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",124,Mongolia,348474.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",127,Pakistan,104787883.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",129,Philippines,65651276.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",137,Türkiye,3669492.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",220,Ghana,583608.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",224,Kenya,6094159.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",227,Madagascar,5809677.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",233,Mozambique,396166.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",244,South Africa,24398489.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",305,France,45649660.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",306,Ireland,14046572.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",309,Netherlands,19955664.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",310,Greece,157470.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",312,Spain,56756143.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",326,Norway,816536204.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",327,Poland,120364.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",357,Faroe Islands,101889963.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",410,Brazil,32234955.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",427,Jamaica,560572.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",429,Mexico,121221671.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",431,Nicaragua,18274044.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",444,Uruguay,22040618.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",501,Canada,1134747138.0
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",503,Greenland,337731515.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",108,Cyprus,5641.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",137,Türkiye,23878077.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",138,United Arab Emirates,9310840.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",301,Belgium,62872095.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",305,France,131564243.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",306,Ireland,55878905.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",307,Italy,42967248.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",309,Netherlands,123034046.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",310,Greece,3382375.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",312,Spain,35152087.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",315,Austria,11874870.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",318,Finland,24393250.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",327,Poland,51866489.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",340,Belarus,42270920.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",350,Slovenia,244099.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",410,Brazil,1627920.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",444,Uruguay,8875626.0
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",501,Canada,140575.0
5,"roducts of animal origin,not elsewhere specified or included",124,Mongolia,474485.0
5,"roducts of animal origin,not elsewhere specified or included",127,Pakistan,8471477.0
5,"roducts of animal origin,not elsewhere specified or included",129,Philippines,537710.0
5,"roducts of animal origin,not elsewhere specified or included",220,Ghana,57853.0
5,"roducts of animal origin,not elsewhere specified or included",233,Mozambique,240814.0
5,"roducts of animal origin,not elsewhere specified or included",244,South Africa,7380660.0
5,"roducts of animal origin,not elsewhere specified or included",305,France,18415641.0
5,"roducts of animal origin,not elsewhere specified or included",306,Ireland,1858592.0
5,"roducts of animal origin,not elsewhere specified or included",307,Italy,190990.0
5,"roducts of animal origin,not elsewhere specified or included",309,Netherlands,50718451.0
5,"roducts of animal origin,not elsewhere specified or included",310,Greece,509904.0
5,"roducts of animal origin,not elsewhere specified or included",312,Spain,29433509.0
5,"roducts of animal origin,not elsewhere specified or included",315,Austria,53460.0
5,"roducts of animal origin,not elsewhere specified or included",321,Hungary,15152549.0
5,"roducts of animal origin,not elsewhere specified or included",327,Poland,24442599.0
5,"roducts of animal origin,not elsewhere specified or included",340,Belarus,866725.0
5,"roducts of animal origin,not elsewhere specified or included",410,Brazil,383677.0
5,"roducts of animal origin,not elsewhere specified or included",444,Uruguay,45078544.0
5,"roducts of animal origin,not elsewhere specified or included",501,Canada,23325198.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",109,Democratic People's Republic of Korea,15269.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",127,Pakistan,6487.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",137,Türkiye,283454.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",224,Kenya,811633.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",244,South Africa,1654202.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",254,Zimbabwe,1720.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",301,Belgium,756264.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",305,France,1079683.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",307,Italy,750527.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",309,Netherlands,67820272.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",312,Spain,2682378.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",316,Bulgaria,10799.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",327,Poland,2093.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",410,Brazil,1071636.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",415,Costa Rica,363795.0
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",429,Mexico,11206.0
7,Edible vegetables and certain roots and tubers,127,Pakistan,902813.0
7,Edible vegetables and certain roots and tubers,137,Türkiye,6862013.0
7,Edible vegetables and certain roots and tubers,307,Italy,691.0
7,Edible vegetables and certain roots and tubers,312,Spain,271.0
7,Edible vegetables and certain roots and tubers,501,Canada,106093324.0
8,Edible fruit and nuts; peel of citrus fruit or melons,124,Mongolia,50286317.0
8,Edible fruit and nuts; peel of citrus fruit or melons,127,Pakistan,3054453.0
8,Edible fruit and nuts; peel of citrus fruit or melons,129,Philippines,314130044.0
8,Edible fruit and nuts; peel of citrus fruit or melons,137,Türkiye,73584600.0
8,Edible fruit and nuts; peel of citrus fruit or melons,138,United Arab Emirates,3003028.0
8,Edible fruit and nuts; peel of citrus fruit or melons,224,Kenya,7833094.0
8,Edible fruit and nuts; peel of citrus fruit or melons,244,South Africa,46879132.0
8,Edible fruit and nuts; peel of citrus fruit or melons,254,Zimbabwe,2162134.0
8,Edible fruit and nuts; peel of citrus fruit or melons,301,Belgium,8742883.0
8,Edible fruit and nuts; peel of citrus fruit or melons,305,France,6196944.0
8,Edible fruit and nuts; peel of citrus fruit or melons,307,Italy,22919694.0
8,Edible fruit and nuts; peel of citrus fruit or melons,309,Netherlands,1436615.0
8,Edible fruit and nuts; peel of citrus fruit or melons,310,Greece,316668.0
8,Edible fruit and nuts; peel of citrus fruit or melons,312,Spain,565999.0
8,Edible fruit and nuts; peel of citrus fruit or melons,410,Brazil,1818564.0
8,Edible fruit and nuts; peel of citrus fruit or melons,415,Costa Rica,522755.0
8,Edible fruit and nuts; peel of citrus fruit or melons,429,Mexico,48421275.0
8,Edible fruit and nuts; peel of citrus fruit or melons,501,Canada,6190634.0
9,"Coffee, tea, maté and spices",127,Pakistan,1036373.0
9,"Coffee, tea, maté and spices",137,Türkiye,191917.0
9,"Coffee, tea, maté and spices",138,United Arab Emirates,202673.0
9,"Coffee, tea, maté and spices",224,Kenya,12518658.0
9,"Coffee, tea, maté and spices",227,Madagascar,611569.0
9,"Coffee, tea, maté and spices",244,South Africa,288.0
9,"Coffee, tea, maté and spices",250,Uganda,18708620.0
9,"Coffee, tea, maté and spices",301,Belgium,98.0
9,"Coffee, tea, maté and spices",305,France,3125949.0
9,"Coffee, tea, maté and spices",306,Ireland,497.0
9,"Coffee, tea, maté and spices",307,Italy,22521040.0
9,"Coffee, tea, maté and spices",309,Netherlands,672390.0
9,"Coffee, tea, maté and spices",312,Spain,105099.0
9,"Coffee, tea, maté and spices",315,Austria,322558.0
9,"Coffee, tea, maté and spices",326,Norway,10619.0
9,"Coffee, tea, maté and spices",327,Poland,473813.0
9,"Coffee, tea, maté and spices",408,Bolivia,170701.0
9,"Coffee, tea, maté and spices",410,Brazil,346587295.0
9,"Coffee, tea, maté and spices",415,Costa Rica,1372948.0
9,"Coffee, tea, maté and spices",427,Jamaica,935276.0
9,"Coffee, tea, maté and spices",431,Nicaragua,994.0
9,"Coffee, tea, maté and spices",501,Canada,581538.0
10,Cereals,127,Pakistan,39597999.0
10,Cereals,307,Italy,357150.0
10,Cereals,350,Slovenia,235.0
10,Cereals,408,Bolivia,8926095.0
10,Cereals,410,Brazil,46266986.0
10,Cereals,435,Puerto Rico,21631.0
10,Cereals,501,Canada,507012837.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,127,Pakistan,3247.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,129,Philippines,211.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,301,Belgium,2287511.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,305,France,4971670.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,309,Netherlands,17867121.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,315,Austria,34976.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,327,Poland,576551.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,350,Slovenia,7946.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,408,Bolivia,448511.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,410,Brazil,4255.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,429,Mexico,1841533.0
11,Products of the milling industry;malt;starches; inulin; wheat gluten,501,Canada,7633864.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",124,Mongolia,89353576.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",127,Pakistan,141666178.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",129,Philippines,3547698.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",137,Türkiye,5029736.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",220,Ghana,416388.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",224,Kenya,492479.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",227,Madagascar,310522.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",233,Mozambique,68409258.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",235,Niger,556844245.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",244,South Africa,16027952.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",250,Uganda,7952775.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",301,Belgium,8391734.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",305,France,7102850.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",307,Italy,13770730.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",309,Netherlands,900992.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",312,Spain,13391547.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",315,Austria,87535.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",316,Bulgaria,9194335.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",321,Hungary,275.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",340,Belarus,951508.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",350,Slovenia,15443250.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",410,Brazil,7416246441.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",415,Costa Rica,3276364.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",429,Mexico,22589355.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",444,Uruguay,218478439.0
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",501,Canada,2532098622.0
13,"Lac; gums, resins and other vegetable saps and extracts",109,Democratic People's Republic of Korea,2156.0
13,"Lac; gums, resins and other vegetable saps and extracts",127,Pakistan,8706717.0
13,"Lac; gums, resins and other vegetable saps and extracts",129,Philippines,164909.0
13,"Lac; gums, resins and other vegetable saps and extracts",137,Türkiye,909960.0
13,"Lac; gums, resins and other vegetable saps and extracts",211,Chad,157529.0
13,"Lac; gums, resins and other vegetable saps and extracts",224,Kenya,4760891.0
13,"Lac; gums, resins and other vegetable saps and extracts",227,Madagascar,3061604.0
13,"Lac; gums, resins and other vegetable saps and extracts",244,South Africa,51880.0
13,"Lac; gums, resins and other vegetable saps and extracts",301,Belgium,114151.0
13,"Lac; gums, resins and other vegetable saps and extracts",305,France,20083432.0
13,"Lac; gums, resins and other vegetable saps and extracts",307,Italy,3126497.0
13,"Lac; gums, resins and other vegetable saps and extracts",309,Netherlands,9611.0
13,"Lac; gums, resins and other vegetable saps and extracts",312,Spain,6054542.0
13,"Lac; gums, resins and other vegetable saps and extracts",315,Austria,16429.0
13,"Lac; gums, resins and other vegetable saps and extracts",327,Poland,326979.0
13,"Lac; gums, resins and other vegetable saps and extracts",408,Bolivia,137.0
13,"Lac; gums, resins and other vegetable saps and extracts",410,Brazil,19308990.0
13,"Lac; gums, resins and other vegetable saps and extracts",429,Mexico,881828.0
13,"Lac; gums, resins and other vegetable saps and extracts",501,Canada,580298.0
14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,109,Democratic People's Republic of Korea,95328.0
14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,127,Pakistan,719448.0
14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,129,Philippines,2642929.0
14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,137,Türkiye,3467322.0
14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,224,Kenya,42244.0
14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,227,Madagascar,109653.0
14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,305,France,235633.0
14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,309,Netherlands,495998.0
14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,312,Spain,8354.0
14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,321,Hungary,696415.0
14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,410,Brazil,2130318.0
14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,429,Mexico,1220327.0
14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,501,Canada,392568.0
15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats;animal or vegetable waxes",127,Pakistan,1816551.0
15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats;animal or vegetable waxes",129,Philippines,63570664.0
15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats;animal or vegetable waxes",137,Türkiye,1444858.0
15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats;animal or vegetable waxes",138,United Arab Emirates,142309838.0
15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats;animal or vegetable waxes",219,Gambia,7971510.0
15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats;animal or vegetable waxes",220,Ghana,246929.0
15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats;animal or vegetable waxes",224,Kenya,1294553.0
15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats;animal or vegetable waxes",244,South Africa,112262.0
15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats;animal or vegetable waxes",254,Zimbabwe,1188.0
15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats;animal or vegetable waxes",301,Belgium,924592.0
15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats;animal or vegetable waxes",305,France,8062412.0
15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats;animal or vegetable waxes",307,Italy,17806244.0
15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats;animal or vegetable waxes",309,Netherlands,1976961.0
15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats;animal or vegetable waxes",310,Greece,1389791.0
15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats;animal or vegetable waxes",312,Spain,84809433.0
15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats;animal or vegetable waxes",315,Austria,714.0
15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats;animal or vegetable waxes",318,Finland,75031.0
15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats;animal or vegetable waxes",326,Norway,2360918.0
15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats;animal or vegetable waxes",327,Poland,120105.0
15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats;animal or vegetable waxes",336,Lithuania,13508.0
15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats;animal or vegetable waxes",340,Belarus,291520948.0
15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats;animal or vegetable waxes",408,Bolivia,1598690.0
15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats;animal or vegetable waxes",410,Brazil,182312981.0
15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats;animal or vegetable waxes",415,Costa Rica,130401.0
15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats;animal or vegetable waxes",429,Mexico,258841.0
15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats;animal or vegetable waxes",444,Uruguay,5524523.0
15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats;animal or vegetable waxes",501,Canada,10731186.0
16,"Preparations of meat, of fish, crustaceans, molluscs or other aquatic invertebrates, or of insects",124,Mongolia,37872490.0
16,"Preparations of meat, of fish, crustaceans, molluscs or other aquatic invertebrates, or of insects",127,Pakistan,24699182.0
16,"Preparations of meat, of fish, crustaceans, molluscs or other aquatic invertebrates, or of insects",129,Philippines,1020415.0
16,"Preparations of meat, of fish, crustaceans, molluscs or other aquatic invertebrates, or of insects",137,Türkiye,3045681.0
16,"Preparations of meat, of fish, crustaceans, molluscs or other aquatic invertebrates, or of insects",224,Kenya,646920.0
16,"Preparations of meat, of fish, crustaceans, molluscs or other aquatic invertebrates, or of insects",241,Seychelles,1351105.0
16,"Preparations of meat, of fish, crustaceans, molluscs or other aquatic invertebrates, or of insects",305,France,1560479.0
16,"Preparations of meat, of fish, crustaceans, molluscs or other aquatic invertebrates, or of insects",306,Ireland,185171.0
16,"Preparations of meat, of fish, crustaceans, molluscs or other aquatic invertebrates, or of insects",307,Italy,11207451.0
16,"Preparations of meat, of fish, crustaceans, molluscs or other aquatic invertebrates, or of insects",312,Spain,927531.0
16,"Preparations of meat, of fish, crustaceans, molluscs or other aquatic invertebrates, or of insects",326,Norway,2388325.0
16,"Preparations of meat, of fish, crustaceans, molluscs or other aquatic invertebrates, or of insects",340,Belarus,898669.0
16,"Preparations of meat, of fish, crustaceans, molluscs or other aquatic invertebrates, or of insects",429,Mexico,5665952.0
16,"Preparations of meat, of fish, crustaceans, molluscs or other aquatic invertebrates, or of insects",431,Nicaragua,576765.0
16,"Preparations of meat, of fish, crustaceans, molluscs or other aquatic invertebrates, or of insects",501,Canada,29336888.0
17,Sugars and sugar confectionery,109,Democratic People's Republic of Korea,47669.0
17,Sugars and sugar confectionery,127,Pakistan,17057853.0
17,Sugars and sugar confectionery,129,Philippines,713448.0
17,Sugars and sugar confectionery,137,Türkiye,3376104.0
17,Sugars and sugar confectionery,138,United Arab Emirates,12548302.0
17,Sugars and sugar confectionery,244,South Africa,1232.0
17,Sugars and sugar confectionery,301,Belgium,9807011.0
17,Sugars and sugar confectionery,305,France,8347688.0
17,Sugars and sugar confectionery,306,Ireland,15.0
17,Sugars and sugar confectionery,307,Italy,5474930.0
17,Sugars and sugar confectionery,309,Netherlands,16415062.0
17,Sugars and sugar confectionery,312,Spain,2952011.0
17,Sugars and sugar confectionery,315,Austria,618984.0
17,Sugars and sugar confectionery,318,Finland,81530.0
17,Sugars and sugar confectionery,321,Hungary,155501.0
17,Sugars and sugar confectionery,326,Norway,2349.0
17,Sugars and sugar confectionery,327,Poland,1184602.0
17,Sugars and sugar confectionery,340,Belarus,264147.0
17,Sugars and sugar confectionery,410,Brazil,178324187.0
17,Sugars and sugar confectionery,429,Mexico,122195.0
17,Sugars and sugar confectionery,501,Canada,3120858.0
18,Cocoa and cocoa preparations,129,Philippines,84295.0
18,Cocoa and cocoa preparations,137,Türkiye,7327092.0
18,Cocoa and cocoa preparations,138,United Arab Emirates,816067.0
18,Cocoa and cocoa preparations,220,Ghana,35211382.0
18,Cocoa and cocoa preparations,244,South Africa,1284.0
18,Cocoa and cocoa preparations,250,Uganda,564617.0
18,Cocoa and cocoa preparations,301,Belgium,32550364.0
18,Cocoa and cocoa preparations,305,France,12537476.0
18,Cocoa and cocoa preparations,306,Ireland,18660.0
18,Cocoa and cocoa preparations,307,Italy,103841862.0
18,Cocoa and cocoa preparations,309,Netherlands,21129462.0
18,Cocoa and cocoa preparations,312,Spain,5267782.0
18,Cocoa and cocoa preparations,315,Austria,1050909.0
18,Cocoa and cocoa preparations,316,Bulgaria,36898.0
18,Cocoa and cocoa preparations,318,Finland,167112.0
18,Cocoa and cocoa preparations,321,Hungary,124503.0
18,Cocoa and cocoa preparations,326,Norway,51799.0
18,Cocoa and cocoa preparations,327,Poland,3189240.0
18,Cocoa and cocoa preparations,340,Belarus,2333784.0
18,Cocoa and cocoa preparations,410,Brazil,739.0
18,Cocoa and cocoa preparations,429,Mexico,459684.0
18,Cocoa and cocoa preparations,501,Canada,1420445.0
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",109,Democratic People's Republic of Korea,21620.0
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",127,Pakistan,146433.0
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",129,Philippines,3343936.0
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",137,Türkiye,17244632.0
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",138,United Arab Emirates,344451.0
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",244,South Africa,6272.0
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",301,Belgium,18928376.0
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",305,France,49941292.0
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",306,Ireland,150109264.0
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",307,Italy,46371569.0
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",309,Netherlands,909759602.0
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",310,Greece,1263025.0
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",312,Spain,4293720.0
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",315,Austria,12609338.0
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",316,Bulgaria,246017.0
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",318,Finland,1736681.0
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",321,Hungary,336.0
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",326,Norway,107541.0
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",327,Poland,13755355.0
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",340,Belarus,2984598.0
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",429,Mexico,107948.0
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",501,Canada,708044.0
20,"Preparations of vegetables, fruit, nuts or other parts of plants",108,Cyprus,8528754.0
20,"Preparations of vegetables, fruit, nuts or other parts of plants",109,Democratic People's Republic of Korea,3857981.0
20,"Preparations of vegetables, fruit, nuts or other parts of plants",127,Pakistan,75225.0
20,"Preparations of vegetables, fruit, nuts or other parts of plants",129,Philippines,52096610.0
20,"Preparations of vegetables, fruit, nuts or other parts of plants",137,Türkiye,64780409.0
